#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
307,,Élder Santana,0,0,0,0,0.4,0
308,,Joca Fernandes,0,0,0,0,1,0
309,,Miguel Nóbrega,0,0,0,0,0.91,0
310,,Moustapha Seck,0,0.14,0,0,1.07,0.1
311,,Cláudio Ramos,0,1,0,0,0,0
312,,Ivan Zlobin,3,0,0,0,2,0
313,,Lucas Silva,0,0,0,0,1,0
314,,Volnei Feltes,0,0,0,0,0,0
315,,Manuel Silva,0,0,0,0,2,0
316,,Dinis Pinto,0,0,0,0,0,0
317,,Jason Bahamboula,0,0,0,0,0,0
318,,Roman Yaremchuk,0,0,0,0,0,0
319,,Sema Velázquez,0,0,0,0,0,0
320,,Mabrouk Rouai,0,0,0,0,0,0
321,,Flávio Nazinho,0,0,0,0,0.33,0
322,,Eduardo Fereira,0,0,0,0,0.67,0
323,,Pedro Silva,3.33,0,1.33,0.33,2.33,0.33
324,,Rodrigo Nascimento,2.75,0,1,0.5,1.25,0.5
325,,Alexander Schmidt,0,0,0,0,0.2,0.3
326,,Nelson Luz,0,0.03,0,0,0.48,0.1
327,,Rildo,0,0,0,0,0.65,0.17
328,,Luiz Carlos,0,0,0,0,0.8,0.15
329,,Maracás,0,0.18,0,0,1.41,0.12
330,,Pablo Felipe,0,0,0,0,0.87,0
331,,Sávio,0,0,0,0,0.07,0.14
332,,Héctor Bellerín,0,0.1,0,0,0.4,0.1
333,,Vítor Gomes,0,0.1,0,0,0.3,0.15
334,,Val Soares,0,0,0,0,1.22,0.17
335,,Rui Gomes,0,0,0,0,0.57,0.07
336,,Bernardo Sousa,0,0,0,0,0.45,0.07
337,,Erison,0,0,0,0,0.73,0.09
338,,Yony González,0,0.06,0,0,1.06,0.13
339,,Erick Ferigra,0,0,0,0,1.31,0.13
340,,Afonso Freitas,0,0.19,0,0,0.81,0.08
341,,Cassiano,0,0,0,0,1.2,0.07
342,,Diogo Mendes,0,0.05,0,0,1.05,0.05
343,,Paulo Henrique,0,0.11,0,0,1.16,0.16
344,,Adewale Sapara,0,0,0,0,0.4,0
345,,Diego Rosa,0,0,0,0,0.44,0
346,,Cláudio Winck,0,0.06,0,0,1.35,0.18
347,,Ukra,0,0,0,0,0.4,0.07
348,,Yago Cariello,0,0.04,0,0,0.68,0.08
349,,Pedro Tiba,0,0.04,0,0,0.54,0.04
350,,Oriol Busquets,0,0.21,0,0,0.46,0.08
351,,Fábio Ronaldo,0,0,0,0,0.87,0.13
352,,Antoñín,0,0,0,0,0.33,0
353,,Derick Poloni,0,0.13,0,0,0.96,0.04
354,,Gonçalo Borges,0,0,0,0,0.3,0
355,,Rodrigo Valente,0,0,0,0,0,0
356,,Carlos Eduardo,0,0,0,0,0.54,0
357,,João Afonso,0,0.13,0,0,0.92,0.17
358,,Hernâni,0,0.05,0,0,0.33,0.1
359,,Serginho,0,0,0,0,0.29,0.29
360,,Nwankwo Obiora,0,0.08,0,0,0.58,0
361,,Rodrigo Ribeiro,0,0,0,0,0,0
362,,Pedro Bicalho,0,0,0,0,0.4,0
363,,Ibrahima Camará,0,0,0,0,0.75,0.21
364,,Ali Alipour,0,0,0,0,0.33,0
365,,Hernani Infande,0,0,0,0,0.46,0.08
366,,Anderson Carvalho,0,0,0,0,0.55,0.09
367,,André Vidigal,0,0.06,0,0,1.41,0.19
368,,Kento Misao,0,0.06,0,0,1.41,0.18
369,,Joel Tagueu,0,0,0,0,1.71,0.14
370,,Euller,0,0.05,0,0,0.48,0.19
371,,Ítalo,0,0.17,0,0,1.67,0.25
372,,Martim Tavares,0,0,0,0,0.36,0
373,,Paulinho Mota,0,0.1,0,0,1,0.2
374,,Roan Wilson,0,0,0,0,0.4,0
375,,Théo Fonseca,0,0,0,0,0.4,0
376,,Ivanildo Fernandes,0,0.3,0,0,0.75,0.25
377,,Reggie Cannon,0,0.13,0,0,1.23,0.13
378,,Alexandre Guedes,0,0.06,0,0,0.63,0.13
379,,Miguel Baeza,0,0,0,0,0.55,0.18
380,,Allano,0,0,0,0,0.8,0.1
381,,Romário Baró,0,0,0,0,0.67,0.11
382,,Emilijus Zubas,2,0.33,0.33,0,1.33,0
383,,Anderson Oliveira,0,0,0,0,0.67,0
384,,Henrique Jocu,0,0.07,0,0,0.79,0
385,,Bilel Aouacheria,0,0,0,0,0.5,0
386,,Issah Abass,0,0.08,0,0,0.62,0.08
387,,Rodrigo Martins,0,0,0,0,0.6,0.07
388,,Filip Stevanović,0,0,0,0,0.57,0.14
389,,Matheus Pereira,0,0.06,0,0,0.44,0.17
390,,Gustavo Assunção,0,0.05,0,0,0.77,0.18
391,,Percy Liza,0,0,0,0,0.45,0.09
392,,Bruno Jordão,0,0.09,0,0,1.55,0.09
393,,João Graça,0,0.05,0,0,0.58,0.11
394,,Yan Eteki,0,0.06,0,0,0.29,0
395,,Ilija Vukotić,0,0,0,0,0.54,0.15
396,,Sidy Sarr,0,0,0,0,0.4,0.2
397,,Sotiris Alexandropoulos,0,0,0,0,0.17,0.17
398,,Fábio China,0,0,0,0,1.1,0.1
399,,Matheus Araújo,0,0.1,0,0,0.95,0.05
400,,Jô Batista,0,0,0,0,0.2,0.1
401,,Mohamed Aidara,0,0,0,0,0.33,0.17
402,,Friday Etim,0,0,0,0,0.37,0
403,,Bruno Gaspar,0,0,0,0,0.43,0.14
404,,Abbas Ibrahim,0,0,0,0,1,0
405,,Yusuf Lawal,0,0,0,0,0.22,0
406,,Alejandro Marqués,0,0,0,0,0.33,0
407,,Zé Carlos,0,0.13,0,0,0.25,0
408,,André Simões,0,0,0,0,0.44,0
409,,Rui Fonte,0,0,0,0,0.72,0.06
410,,Carlos Isaac,0,0,0,0,0.22,0.56
411,,Bryan Róchez,0,0.05,0,0,0.62,0.05
412,,N'Dri Koffi,0,0,0,0,1.58,0
413,,Paulo Vitor,0,0.04,0,0,0.56,0.12
414,,Jonny Arriba,0,0.08,0,0,0.38,0.15
415,,Carnejy Antoine,0,0,0,0,0.5,0
416,,Depú,0,0,0,0,0.2,0
417,,Sandro Cruz,0,0,0,0,0.54,0.08
418,,Wagner Leonardo,0,0,0,0,3,1
419,,Diogo Queirós,0,0,0,0,0,0
420,,Rui Costa,0,0,0,0,0,0
421,,João Gonçalves,5,0,0,0,1,0
422,,Bruno Rodrigues,0,0,0,0,2,0
423,,Zé Manuel,0,0,0,0,1,0
424,,Wilinton Aponzá,0,0,0,0,0,0
425,,Kiki Silva,0,0,0,0,0,0
426,,Jota,0,0,0,0,0,0
427,,Elias Achouri,0,0,0,0,0,0
428,,Boubacar Hanne,0,0,0,0,0,0
429,,Andre Simões,0,0,0,0,0,0
430,,Mateus Fernandes,0,0,0,0,0.33,0
431,,Julio Dabo,0,0,0,0,0,0
432,,Wilson Manafá,0,0,0,0,0.29,0
433,,Shaquil Delos,0,0,0,0,0.8,0.1
434,,Lucas Ventura,0,0,0,0,0.54,0.08
435,,Leonardo Ruiz,0,0,0,0,0.48,0.16
436,,Matías Lacava,0,0,0,0,0.33,0.07
437,,Martín Aguirregabiria,0,0,0,0,0.59,0
438,,Kyosuke Tagawa,0,0,0,0,0.7,0.15
439,,Costinha,0,0,0,0,0.92,0.15
440,,Stefano Beltrame,0,0,0,0,1.5,0.05
441,,Pablo Moreno,0,0,0,0,0.68,0.21
442,,Gonçalo Costa,0,0,0,0,0.33,0
443,,Habib Sylla,0,0.11,0,0,0.78,0.11
444,,Clayton,0,0.03,0,0,0.38,0.1
445,,Luther Singh,0,0,0,0,0.55,0.05
446,,Pelé,0,0.08,0,0,0.67,0.17
447,,Stanley Kanu,0,0,0,0,0,0
448,,Matheus Costa,0,0.15,0,0,1.2,0.15
449,,Ricardo Matos,0,0,0,0,0.53,0
450,,Youssef Chermiti,0,0.25,0,0,0.44,0
451,,Joel Soñora,0,0,0,0,0.75,0.25
452,,Vitó,0,0,0,0,0,0
453,,Henrique  Gomes,0,0.11,0,0,0.44,0.11
454,,Jesús Ramírez,0,0,0,0,0.32,0
455,,João Pedro,0,0.14,0,0,0.43,0.14
456,,Miguel Sousa,0,0,0,0,2.33,0
457,,Mateo Tanlongo,0,0,0,0,0.11,0
458,,João Carlos,0,0.04,0,0,0.52,0.09
459,,Deni Júnior,0,0.09,0,0,0.45,0
460,,Luís Santos,0,0,0,0,0.33,0.11
461,,Rodrigo Gomes,0,0,0,0,0.4,0.07
462,,Jorge Fernandes,0,0,0,0,0.8,0
463,,Tiago Ribeiro,0,0,0,0,1.4,0
464,,Ricardo Mangas,0,0.07,0,0,0.96,0.11
465,,Anderson Silva,0,0,0,0,0.4,0.13
466,,Bogdan Milovanov,0,0.27,0,0,1.2,0.2
467,,Lucas Veríssimo,0,0,0,0,0,0
468,,Rodrigo Pinho,0,0,0,0,0,0.5
469,,Anderson Cordeiro,0,0,0,0,0,0
470,,Bruno Ventura,0,0,0,0,0.67,0
471,,Jovane Cabral,0,0,0,0,0,0
472,,Miguel Silva,3.75,0,0.25,0,2.63,0.25
473,,Yaw Moses,0,0,0,0,0.58,0.08
474,,Ismaila Soro,0,0.12,0,0,0.58,0.12
475,,Tiago Araújo,0,0.04,0,0,0.64,0.12
476,,Masaki Watai,0,0,0,0,0.73,0
477,,Edson Mexer,0,0,0,0,1.5,0
478,,Edgar Costa,0,0,0,0,0.57,0.05
479,,João Queirós,0,0.2,0,0,1,0.4
480,,Diogo Pinto,0,0,0,0,0.35,0
481,,João Gamboa,0,0.06,0,0,0.88,0.12
482,,Bastien Toma,0,0,0,0,0.75,0
483,,Uilton Silva,0,0.03,0,0,0.79,0.1
484,,Joao Marques,0,0,0,0,0.73,0
485,,Amine Oudrhiri,0,0,0,0,0.58,0.05
486,,Paulo,0,0,0,0,0.88,0.25
487,,Pedro Ganchas,0,0,0,0,1.4,0
488,,Arsénio Nunes,0,0,0,0,0.48,0.1
489,,Lucas Áfrico,0,0,0,0,1.5,0.17
