Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Jesús Orozco,0,0,60,0.43,0,0,1.5,0.86,0.14,2.14,0,0.36,0.07,0,41.86,79.86,4.07,47.71,0,0.21,0,0,1.07,0.21,0.21,0,62.22,57.14,0.29,1,14
Illian Hernandez,0.14,0.21,0,1.29,0,0,0.21,0,0,0.71,0,0.29,0,0,7.5,63.81,1.86,60,0,0,0,0,0.36,0.07,0.07,0,42.62,39.02,0.21,0.36,14
Augusto Solari,0.09,0,55,0.36,0.09,0,1.55,0.45,0,0.27,0,1.91,0.09,0.09,19.55,67.91,3.09,19.05,0,0,0,0,0.64,0.36,0.09,0,33.33,44.44,1.18,0.82,11
Francisco Contreras,0,0,14.29,0.27,0,0,1.45,1.64,0.09,1.27,0,0.36,0,0,28,79.87,6.36,40,0,0,0,0,0.73,0,0,0,50,54.55,0.55,0.64,11
Mateo Klimowicz,0.06,0.17,53.85,1.39,0,0,1.5,0.39,0,0.11,0,0.33,0.06,0,12.72,78.17,2.61,53.33,0,0,0,0,0.5,0.06,0.28,0,14.29,48.62,0.22,0.89,18
Brian Rubio,0.07,0.07,83.33,0.86,0,0,0.43,0.14,0,0.57,0,0.21,0,0.07,10.93,79.74,3.21,58.33,0,0,0,0,0.5,0.07,0.07,0.07,36.84,43.18,1,1.14,14
Kevin Escamilla,0.07,0,25,1.14,0.07,0,1.71,0.79,0,0.93,0,1.07,0,0,26.79,78.4,4.86,48.84,0,0.21,0,0,1.5,0.07,0.29,0,48.28,44.12,0.43,1.29,14
Eduardo Aguirre,0.08,0.08,33.33,1.58,0,0,0.5,0.33,0,0.58,0,0.42,0,0,11.5,74.64,3.75,100,0,0,0,0,0.58,0.17,0.17,0,32.5,33.66,1,0.92,12
Aldo Lopez,0,0,66.67,0.29,0,0,0.94,1,0,0.82,0,0.71,0,0,20.88,90.7,4.71,63.64,0,0.06,0,0,1.12,0.18,0.12,0,41.67,45.95,0.53,0.53,17
Braian Samudio,0.09,0,20,1,0,0,0.45,0.09,0,0.18,0,0.45,0,0,14.09,71.61,4.09,41.67,0,0,0,0,0.36,0.18,0,0.09,53.66,39.19,0.09,0.82,11
Jahaziel Marchand,0,0,66.67,0,0,0,0.83,0.5,0,0.33,0,0.33,0.17,0.17,15.83,84.21,2.17,50,0,0,0,0,0.67,0,0,0,71.43,48.28,0.33,1.33,6
Raúl López,0,0,52.94,0.33,0,0,1.27,0.4,0,1.47,0,0.6,0.13,0.07,19.93,85.28,4.47,67.86,0,0,0,0,1.07,0.27,0.07,0,33.33,50,0,0.27,15
Sebastian Santos,0,0.2,66.67,1,0,0,1,0,0,0,0,0.2,0,0,10.8,87.04,3.4,0,0,0,0,0,0.2,0,0,0,0,50,0.2,0.6,5
Léo Bonatini,0.24,0.38,50,1.62,0,0,0.14,0.14,0,0.43,0,0.29,0,0,12.81,75.09,2.67,33.33,0,0,0,0,0.76,0.14,0,0,34.78,40.74,0.62,0.19,21
Omar Fernández,0.06,0.06,45.45,0.22,0.06,0,0.28,0.33,0,0.17,0,0.56,0.17,0.11,20,89.17,4.94,68,0,0,0,0,0.67,0.11,0.06,0,30,34.55,0.33,0.17,18
Ulises Rivas,0.1,0,55.56,0.85,0,0,1.55,0.55,0,0.95,0,0.8,0.05,0,19.55,77.24,3.7,45.45,0,0.05,0,0,0.7,0.15,0.15,0,44.44,49.11,0.35,0.85,20
Jorge Ruvalcaba,0,0,33.33,0.33,0,0,1,0.33,0,0,0,1,0.33,0.33,7,80.95,3,0,0,0,0,0,0,0,0,0,0,37.5,0.33,0,3
Mateo García,0,0.17,65.22,0.42,0,0,1.17,0.17,0,0.25,0,0.67,0.08,0,21.67,84.62,6.58,54.55,0,0,0,0,0.5,0.17,0,0.08,57.14,58.23,1.08,0.17,12
Jeremy Márquez,0,0.13,28.57,0.93,0,0,1.13,0.73,0,0.07,0,0.73,0,0,24.6,84.28,5.13,66.67,0,0,0,0,0.4,0.27,0,0,62.5,51.49,0.93,0.47,15
