#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
371,,Rogelio Cortéz Pineda,0.29,0,50,52.17,0.43,0.43
372,,José Lozano,0.18,0,44.44,44.44,0.27,0.64
373,,Omar Moreno Villegas,0,0,50,55.56,0.25,0.25
374,,Efrain Orona,0,0,62.5,61.54,0,0.13
375,,Alexis Gutiérrez,0,0,25,40.91,0.33,0.33
376,,Ventura Alvarado,0.2,0,48.28,52.27,0.6,0.4
377,,Owen González,0.2,0,20,26.09,0.2,0.6
378,,Andres Colorado,0.1,0,30.77,40,0.5,1.4
379,,Christopher Trejo,0,0,40,31.03,0.2,0.1
380,,Rodrigo Aguirre,0.14,0,50,41.46,0.71,0.71
381,,Jonathan Torres,0,0,0,100,0,0
382,,Luis Iturbide,1,0,66.67,33.33,0,2
383,,Raymundo Rubio,0,0,50,66.67,1,0
384,,Diego Zago Gravito,0,0,0,27.27,0,0.5
385,,José Galindo,0,0,0,0,0,0
386,,Joaquín Moxica,0,0,25,50,2,0
387,,Eugenio Pizzuto,0,0,0,100,0.5,0
388,,Jesús Ocejo,0,0,50,66.67,0.5,0
389,,Edson Mata,0,0,0,100,0,0
390,,Patricio Salas,0,0,100,25,0,0.67
391,,Juan Gamboa,0,0,0,30.77,0,0
392,,Isaias Violante,0.2,0,0,36.36,0.2,0.2
393,,Ettson Ayon Calderon,0,0,28.26,41.05,1.5,0.2
394,,Ronaldo Prieto,0.27,0,61.29,54.24,0.36,1.09
395,,Gibran Lajud,0.11,0,100,57.14,0,0.11
396,,Joaquín Montecinos,0.11,0,20,32.5,0.67,0.78
397,,Lucas Paul De los Santos,0.38,0,71.43,54.17,0.25,0.88
398,,José Madueña,0.09,0,33.33,54.72,1.18,0.64
399,,Javier Salas,0.2,0,34.62,37.35,0.47,1.27
400,,Diego Medina,0.16,0,25,34.29,0.47,0.53
401,,Mauro Manotas,0,0,22.22,32.35,0.22,0.22
402,,Mario Osuna,0.08,0,28.57,32.35,0.17,0.67
403,,Lucas Cavallini,0,0.09,34.21,35.8,0.82,1
404,,Aldo Cruz,0,0,45.45,56,0.18,0.18
405,,Edgar Zaldívar,0.25,0,54.55,41.33,0.83,1
406,,Braian Romero,0,0,33.33,30,0.33,1.33
407,,Facundo Waller,0.33,0,50,54.55,0.67,0.33
408,,Jesús Vega,0.14,0,66.67,46.67,0,0.57
409,,Iván Tona,0.11,0,80,46.43,0.11,0.33
410,,Fernando Tapia,0.4,0,0,20,0,0.2
411,,Pablo Monroy,0.45,0,52.63,49.35,0.45,1
412,,Ronaldo Cisneros,0,0,29.41,25.64,0.31,0.38
413,,Jair Cortes,0.14,0,50,48.94,0.5,0.93
414,,Jan Carmona,0,0,100,40,0,0
415,,Waldo Madrid,0,0,0,53.85,0.4,0.4
416,,Ángel Robles,0.29,0,33.33,38.89,0.43,0.57
417,,Maximiliano Silvera,0,0,40,41.18,1,0.33
418,,Paulino de la Fuente,0.33,0,40,54.55,1.67,1
419,,Jesús Corona,0,0,0,0,0,0
420,,Alberto Herrera,0.33,0,25,18.18,0,0.67
421,,Carlos Gutiérrez,0.11,0,20,33.33,0.56,0.78
422,,Luis Garcia,0.08,0,40,34.15,0.15,0.46
423,,Cristian González,0.43,0,11.11,30.56,0.14,0.86
424,,Jair Díaz,0.31,0.15,47.06,51.33,1.15,1.69
425,,Ali Ávila,0,0.2,60,51.85,0.8,1.2
426,,Efrain Alvarez,0.17,0,0,41.67,0.17,0.5
427,,Andrija Vukčević,0.13,0,57.14,52.17,0.5,0.63
428,,Michael Santos,0.38,0,22.22,28.95,0.5,0.63
429,,Raúl Sandoval,0,0.06,40,39.34,0.63,0.75
