Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Oday Dabbagh,0.5,0.36,60,1.64,0,0,0.21,0.43,0,0.57,0,0.14,0.14,0,16.86,77.54,5.57,80,0,0,0,0,0.5,0.07,0,0,30.65,39.6,0.64,0.36,14
Chico Lamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,95,4,66.67,0,0,0,0,0,0,0,0,100,100,1,0,1
Pastor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
João Vigário,0,0,100,0,0,0,0,0,0,1,0,0,0,0,10,100,2,100,0,0,0,0,0,0,0,0,0,100,0,0,1
Julian Weigl,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,40,97.5,8,88.89,0,0,0,0,0,0,0.5,0,100,80,0.5,0.5,2
Ibrahima Bamba,0,0.07,50,0.54,0,0,2.25,1.29,0.04,4.43,0,0.36,0,0,34.29,84.06,2.36,48.3,0,0.29,0,0,0.82,0.21,0.43,0.04,45.16,59.57,1.54,1.36,28
Wendell,0.04,0,48,0.46,0,0,1.85,0.96,0,0.77,0,0.88,0.15,0.08,44.65,89.23,9.96,50,0,0.31,0,0,0.35,0.08,0.15,0,60,56.44,1.15,1.19,26
Paulinho,0.23,0.41,52.94,2,0.14,0,1.18,0.32,0,0.41,0,0.14,0.23,0.18,14.14,70.1,3.36,54.55,0,0.09,0,0,0.59,0.09,0.14,0,56,51.27,0.82,1.14,22
André Horta,0.03,0.03,59.38,1.25,0,0,1.16,0.41,0,0.25,0,1,0.09,0.13,48.91,89.46,13.81,63.91,0,0.03,0,0,0.5,0.06,0.13,0,0,44.03,0.44,0.72,32
Stephen Eustaquio,0.07,0.07,66.67,0.9,0,0,1.97,0.66,0,0.76,0,1,0.24,0.17,34.17,85.77,8.59,71.64,0,0.17,0,0,0.41,0.03,0.07,0.03,48.84,51.37,0.41,1.03,29
Yuki Soma,0.11,0.11,45.45,1.78,0,1.39,1.17,0.33,0,0.22,0,0.78,0.33,0.06,13,75.21,3.94,35.71,0,0,0,0,1,0.11,0.22,0.06,30.77,43.51,1.56,1.39,18
Hidemasa Morita,0.21,0.07,45.16,0.97,0.03,0,1.72,0.9,0,0.52,0,0.38,0.03,0.1,35.28,86.8,8.45,68,0,0.21,0,0,0.48,0.07,0.14,0,60.53,49.78,0.86,1.59,29
Nicolás Gaitán,0.11,0.11,57.89,1.33,0,0,0.74,0.44,0,0.78,0,1,0.15,0.11,23.11,71.15,6.37,53,0,0,0,0,1.11,0.11,0.11,0,42.86,46.15,1,0.63,27
Vítor Tormena,0.04,0.11,50,0.56,0.04,0,0.89,1.15,0,3.93,0,0.37,0,0,57.67,85.1,5.04,43.84,0,0.44,0,0,0.81,0.07,0.22,0.04,73.03,62.09,0.19,0.85,27
David Simão,0,0,60.71,0.52,0,0,1.77,0.94,0.03,0.71,0,1.13,0.03,0.13,50.42,83.94,8.16,59.68,0,0.23,0,0,0.74,0.13,0.23,0,57.69,50.84,1.1,1.55,31
Nuno Sequeira,0.04,0,64,0.41,0,0,1.78,1.3,0,1.19,0,1.33,0.19,0.07,44.63,79.17,10.44,49.66,0,0.37,0,0,0.7,0.04,0.15,0,59.65,52.87,1.15,1.41,27
Fábio Cardoso,0.12,0.12,75,0.65,0.12,0,0.41,0.71,0,2.71,0,0.24,0,0,53,91.34,3.18,67.06,0,0.35,0,0,0.41,0.06,0.24,0,69.57,59.74,0.29,0.59,17
Ivo Rodrigues,0.07,0.03,47.42,1.53,0.03,0,2.03,0.67,0.03,0.67,0,1.17,0.27,0.23,33.8,80.47,10.2,61.47,0,0.07,0,0,0.97,0.13,0.27,0.03,43.75,51.62,3.17,1.87,30
