#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
366,,Jesus Mendieta,0.05,0,55.56,0.81,0,0
367,,Maximiliano Freitas,0.23,0.08,80,1.31,0,0
368,,Mathías Techera,0,0,0,0.2,0,0
369,,Darlin Leiton,0,0.13,33.33,0.5,0,0
370,,Erick Morillo,0,0,47.73,0.5,0,0
371,,Freddy Oncoy,0,0,66.67,0.13,0,0
372,,Robinson Alzamora,0,0,0,0.13,0,0
373,,Ronald Quinteros,0.04,0,55.56,0.35,0,0
374,,Paolo De La Haza,0,0,100,0,0,0
375,,Juan Barreda,0,0,100,0.11,0,0
376,,Michael Rasmussen,0.09,0.18,100,0.82,0,0
377,,Jorge Molina,0,0.09,50,0.18,0,0
378,,Jorge Bazan,0.04,0,44.74,0.92,0,0
379,,Stefano Fernández,0,0,0,0.16,0,0
380,,Pedro Bautista,0,0,0,0,0,0
381,,Carlos Neyra,0,0,33.33,0.25,0,0
382,,Edinson Chavez,0,0,37.5,0.44,0,0
383,,Jorge Tandazo,0,0,100,0,0,0
384,,Jerry Navarro,0,0,0,1,0,0
385,,Axel Domínguez,0,0,0,2,0,0
386,,Jean Pierre Vilchez,0,0,0,0,0,0
387,,Luis Duque,0,0,0,0.5,0,0
388,,Víctor Salas,0,0,0,1,0,0
389,,Roberto Villamarín,0,0.05,45.16,0.95,0,0
390,,Leonardo Mifflin,0.06,0,50,0.61,0,0
391,,Jose Carlos Fernandez,0,0.16,33.33,0.92,0,0
392,,Bryan Ríos,0,0.08,57.14,0.31,0,0
393,,Dylan Caro,0,0,0,0.2,0,0
394,,Baruj Aburto,0,0,88.89,0.27,0,0
395,,Yhirbis Cordova,0,0,50,0.54,0,0
396,,Mario Ceballos,0.08,0,0,0.5,0,0
397,,Jhamir D´Arrigo,0.18,0.07,49.07,0.96,0,0
398,,Mauricio Montes,0,0.08,0,0.83,0,0
399,,Gianmarco Gambetta,0,0.06,66.67,0.24,0,0
400,,Carlos Aliaga,0,0,70,0.25,0,0
401,,Rodrigo Menancho,0,0,100,0.5,0,0
402,,Jhon Vega,0,0,100,0.17,0,0
403,,Francisco Duclos,0,0,66.67,0.5,0,0
404,,David Dioses,0,0,0,0.53,0,0
405,,Brando Paladines,0,0,50,0.33,0,0
406,,Carlos Flores,0,0,0,0.23,0,0
407,,Rotceh Aguilar,0,0,42.86,0.43,0,0
408,,Jesus Arismendi,0.09,0,42.86,0.27,0,0
409,,Arly Benites,0.08,0.08,13.33,0.58,0,0
410,,Pedro De la Cruz,0,0,40,0.8,0,0
411,,Nicolás Figueroa,0,0.13,0,0.5,0,0
412,,Carlos Ruiz,0,0.11,50,0.33,0,0
413,,Yilton Díaz,0,0,44.44,0.67,0,0
414,,Jean Piere Mendoza,0,0,92.31,0.22,0,0
415,,Jorge Rios,0,0,66.67,0.5,0,0
416,,Emmanuel Páucar,0,0,0,0.17,0,0
417,,Piero Ratto,0,0.05,47.06,0.36,0,0
418,,Felipe Mesones,0.17,0,71.43,0.75,0,0
419,,Alonso Yovera,0,0,46.67,0.47,0,0
420,,Jefferson Farfán,0,0,0,0.33,0,0
421,,Jefferson Caceres,0,0,33.33,0.25,0,0
422,,Paulo Goyoneche,0,0,0,0.5,0,0
423,,Luiggi Alburqueque,0,0,50,0.25,0,0
424,,José Cotrina,0,0,50,0.14,0,0
425,,Diego Temoche,0,0.14,25,0.86,0,0
426,,Cristian Carbajal,0,0,0,0.33,0,0
427,,Sharif Ramírez,0,0,0,0.8,0,0
428,,Roberto Campos,0,0,41.18,0.7,0,0
429,,Valentino Sandoval,0.11,0,55,0.44,0,0
430,,Saúl Salas,0,0,33.33,0.38,0,0
431,,Antony Quijano,0,0,64.71,0.18,0,0
432,,Ignacio Rey,0,0.08,0,0.46,0,0
433,,Josue Rodriguez,0.13,0,50,0.53,0.07,0
434,,Royer Salcedo,0.33,0.33,0,1,0.33,0
435,,Jhilmar Lobatón,0,0,20,0.89,0,0
436,,Anthony Osorio,0,0,0,0.75,0,0
437,,Luis Rodríguez,0,0,100,0.25,0,0
438,,José Luján,0,0,16.67,0.44,0,0
439,,Hugo Magallanes,0,0.09,77.78,0.87,0,0
440,,Alessandro Moreno,0.25,0,44.44,1.75,0,0
441,,Juan Roque,0,0,0,0,0,0
442,,Jose Lozada,0,0,0,0,0,0
443,,Victor Bazan,0,0.22,33.33,1,0,0
444,,Guillermo Larios,0.08,0.08,0,0.58,0,0
445,,Kevin Ferreyra,0,0,33.33,0.2,0,0
446,,Carlos Meza,0,0.06,43.75,0.44,0,0
447,,Diego Ramírez,0,0.05,50,0.37,0,0
448,,Pier Larrauri,0,0,40,0.67,0,0
449,,Adrián Quiroz,0,0,83.33,0.36,0,0
450,,Mario Tajima,0,0.05,46.15,0.4,0,0
451,,Christian Adrianzen,0,0,50,0.27,0,0
452,,Carlos Martin Solis,0,0,100,0,0,0
453,,Eduardo Uribe,0,0,57.14,0.2,0,0
454,,Juan Sánchez,0,0,0,1,0,0
455,,Luis Valverde,0,0,0,0,0,0
456,,Luis Ramos,0,0,0,0,0,0
457,,Eduardo Rabanal,0,0,0,1,0,0
458,,Jeanfranco Castillo,0,0,0,1,0,0
459,,Romario Gamarra,0,0,0,0,0,0
460,,Paulo Mesias,0,0,0,0,0,0
461,,Luis Campos,0,0,66.67,0.5,0,0
462,,Bryan Molina,0,0,0,0.5,0,0
463,,Rodrigo Rodriguez,0,0,0,0,0,0
464,,Pedro Ibañez,0,0,0,0.33,0,0
465,,Francesco Cavagna,0,0,66.67,0,0,0
466,,José Guidino,0,0.08,45.45,0.25,0,0
467,,Erick Perleche,0,0,27.27,0.13,0,0
