#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
288,,Diego Espinoza,0,0.1,11.55,73.59,3.4,50
289,,José De la Cruz,0,0.1,6.55,78.63,1.75,42.86
290,,Elsar Rodas,0.11,0.16,24.11,72.05,5.53,40
291,,José Zevallos,0,0,14.6,86.3,2.2,25
292,,Marcelo Gaona,0,0,26.67,77.25,3.87,41.18
293,,Luis Carranza,0,0.14,11,76.62,2.29,40
294,,Carlos Montoya,0,0,10,90,1,0
295,,Waldir Calderon,0,0,3,66.67,1,0
296,,Koichi Aparicio,0,0,28.5,85.09,2.5,62.96
297,,Juan Quiñones,0,0,15.14,77.36,1.14,53.57
298,,Willy Pretel,0,0,12,63.54,2.13,42.11
299,,Juan Goyoneche,0,0,23.78,46.26,2.11,35.8
300,,Carlos Ascues,0,0,42.17,81.6,3.66,44.65
301,,Marcos Ortiz,0.05,0.05,21.68,85.32,1.77,57.38
302,,Jose Eduardo Caballero,0,0,24.88,72.1,1.65,30.3
303,,Ángel Pérez,0,0,30.32,78.62,5.68,45.32
304,,Erick Canales,0.29,0.14,24.57,77.03,4.14,39.39
305,,Jacson Pita Mina,0,0,5.77,74.67,1.54,33.33
306,,Aldair Fuentes,0,0,11,77.84,1.25,41.18
307,,Carlos Olascuaga,0,0.09,8.55,62.77,3,40
308,,Benjamín Ampuero,0,0,22.58,76.38,1.25,38.98
309,,Emanuel Ibáñez,0.04,0,22.04,79.5,3.07,45.35
310,,Kevin Ruiz,0,0,11.92,69.58,3.79,62.5
311,,Fabio Rojas,0.06,0.13,26.19,71.6,4.19,38.46
312,,Marcos Delgado,0,0,25.38,68.47,3.29,39.22
313,,Leonardo Villar,0.17,0,23.5,85.11,6.17,69.23
314,,Jesús Barco,0,0,15.45,74.71,1.82,48.39
315,,Bryan Reyna,0.19,0.11,22.44,75.91,8.26,50
316,,Alfredo Rojas,0.04,0.04,30.52,85.58,5.76,70.15
317,,Óscar Vílchez,0,0,35.5,82.54,6.5,57.78
318,,Joazhiño Arroé,0.04,0.04,18.56,80.44,4.93,61.84
319,,Jean Tragodara,0,0,13.36,80.27,1.64,60
320,,Gerson Barreto,0.04,0.04,24.12,83.73,4.88,61.11
321,,Renzo Revoredo,0.06,0.06,20.56,69.6,2.06,35.71
322,,Neil Marcos,0.13,0,27.63,85.07,5.63,66.67
323,,Jefferson Portales,0,0,20,80,1.44,62.16
324,,Juan Pablo Carranza,0.1,0,7.9,70.89,0.9,50
325,,Aldair Perleche,0,0.07,19.67,70.17,2.8,31.48
326,,Alonso Tamaríz,0.04,0.08,26.12,76.14,5.27,36.49
327,,Armando Alfageme,0,0.06,22.71,77.72,3.24,41.79
328,,Alexis Cossio,0.1,0,13.1,77.1,2.1,56.25
329,,José Ramírez,0,0,30.45,79.87,2.13,35.98
330,,Christopher Olivares,0.06,0.13,5.5,75,1.81,0
331,,Ronald Ruiz,0,0,14.67,77.27,0,33.33
332,,Gino Roque,0,0,17.5,83.81,0.83,57.89
333,,Flavio Fernández,0,0,7.23,74.47,2.23,62.5
