#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
350,,Denis Haruț,0.11,0,32.11,85.81,2.89,47.5
351,,Iulian Cristea,0,0,24.43,69.3,1.93,42.53
352,,Andrei Patache,0.05,0.05,24,69.52,4.11,24.24
353,,Mihai Velisar,0,0,15.4,64.94,1.6,14.29
354,,Denis Constantin Dumitrascu,0.06,0.03,22.46,70.48,5.69,39.29
355,,Cornel Dinu,0,0,15,66.25,2.06,30
356,,Cristian Merloi,0.09,0.09,5.87,77.04,1.74,40
357,,Ionut Laurentiu Radescu,0.06,0.03,15.45,65.1,3.33,31.34
358,,Gustavo Marins,0,0,20.6,81.55,2,50
359,,Daniel Toma,0.09,0.09,17.5,79.22,4.73,46.15
360,,Cyril Zabou,0,0,20.23,79.1,5.91,38.46
361,,Alexandru Vlad,0.15,0.08,16.54,82.33,3.31,35.71
362,,Vlad Pop,0.03,0.1,26.48,80.6,5.34,40
363,,Andreas Mihaiu,0,0,8.55,78.72,3.09,50
364,,Willie,0,0,8,84.09,2.27,100
365,,George Ganea,0.11,0.07,12.21,66.37,3.04,29.41
366,,Dragoș Iancu,0,0,9.18,78.22,1.64,50
367,,Ricardo Grigore,0,0,23,73.91,1.85,34.09
368,,Florian Haita,0.06,0,12.63,76.24,3.94,30.77
369,,Damien Dussaut,0,0,17,70.59,6,50
370,,Constantin Dima,0,0,4,75,0,0
371,,Alexandru Buzbuchi,0,0,34,82.35,1,40
372,,Narcis Cosmin Ilas,0,0,36,91.67,9,0
373,,Alexandru Stan,0,0,2.5,80,0,0
374,,George Dragomir,0,0,13,80.77,1.5,0
375,,Rareș Bălan,0,0,14.5,75.86,1.5,57.14
376,,Răzvan Sava,0,0,23,44.93,0.67,37.7
377,,Alexandru Musi,0,0,13,89.74,4.67,50
378,,Robert Ion,0,0,15.33,80.43,2.33,50
379,,Patrick Pașcalău,0,0,1.5,66.67,0.5,0
380,,Cristian Cherchez,0,0,3,73.33,1,0
381,,Claudiu Balan,0,0,1.67,80,0.67,100
382,,Andrei Peteleu,0,0,12.14,81.18,3.86,33.33
383,,Brent Lepistu,0,0,19.75,71.52,2.5,34.78
384,,Simon Moise Măzărache,0.07,0,7.5,61.9,1.21,41.67
385,,Romario Benzar,0,0,22.33,61.49,3.67,23.33
386,,Yacouba Sylla,0,0,30,84.89,3.33,50
387,,Eugeniu Cebotaru,0,0,17.5,83.57,4.25,60
388,,Raul Steau,0.05,0,8.86,71.51,2.05,58.33
389,,Răzvan Trif,0,0,14.5,74.88,3.29,38.1
390,,Francisco Junior,0,0,19.29,83.46,2.43,41.67
391,,Remus Guțea,0,0,8,71.43,2.14,0
392,,George Claudiu Negoescu,0,0,3.17,68.42,0.5,42.86
393,,Andrei Dragu,0.06,0.06,21.89,79.5,5.06,35.82
394,,José Gomes,0.06,0,17.44,75.63,6.25,71.43
395,,Ionuț Vînă,0,0,21.2,72.64,5.4,50
396,,Claudiu Belu,0,0,33.6,72.02,5.4,23.81
397,,Gabriel Debeljuh,0.25,0,9.5,57.89,1.75,25
398,,David Sala,0,0,18.83,92.04,2.5,83.33
399,,Andrei  Dumiter,0,0,4.69,68,1,100
400,,Matko Babić,0,0,4.09,72.34,1.09,100
401,,Sergiu Buş,0.05,0.05,6.4,69.53,1.7,55.56
402,,Junior Kabananga,0,0,6.9,65.22,1.6,50
403,,Enes Sali,0,0,7.95,78.81,3.21,33.33
404,,Ioan Hora,0,0,7,57.14,0.5,0
405,,Sorin Șerban,0,0,22,81.82,3.5,0
406,,Emanuel Dat,0,0,5,80,1.5,0
407,,Alexandru Daniel Jipa,0,0,3,100,1,0
408,,Salvatore Marrone,0,0,9.83,62.71,2,40
409,,Mirko Ivanovski,0.07,0.14,10.86,73.03,3.29,44.44
