#,Team,Name,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past
422,,Helibelton Palacios,1.58,0,0.83,0,2.13,0.29
423,,Thomas Delaney,0.5,0,0.5,0,0.38,0.25
424,,Valery Fernández,0.48,0,0.4,0.04,0.24,0.16
425,,Bryan Gil,1.29,0,0.47,0,0.47,0.76
426,,Dimitri Foulquier,1.03,0,0.47,0,1.23,0.27
427,,Brian Ocampo,1,0,0.17,0,0.11,0.72
428,,Asier Villalibre,0,0,0,0,0.2,0
429,,Brian Cufré,1,0,0.4,0,0.2,0.6
430,,Reinier,0.67,0,0.28,0,0.22,0.33
431,,José Mari,0.89,0,0.28,0,0.44,0.33
432,,Tanguy Nianzou,1.05,0.05,0.84,0,2.11,0.16
433,,Pablo Torre,0.25,0,0.25,0,0.13,0.25
434,,Gonzalo Villar,0.63,0,0.38,0,0.31,0.5
435,,Largie Ramazani,0.45,0,0.45,0.03,0.21,0.58
436,,Mamadou Mbaye,0.71,0.07,0.5,0.07,3.5,0.14
437,,Portu,0.82,0,0.5,0,0.41,0.71
438,,Carlos Fernández,0.25,0,0.04,0,0.17,0.58
