#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
323,,Tom Boere,0,0,100,0.5,0,0
324,,Sem Scheperman,0.05,0,66.67,0.35,0,0
325,,Terrence Douglas,0.03,0.03,44.44,1,0.03,0
326,,Jayden Turfkruier,0,0,60,0.23,0,0
327,,Lorenzo Pique,0,0,76.92,0.24,0,0
328,,Thijs Oosting,0.08,0.33,45.45,1.25,0,0
329,,Orestis Kiomourtzoglou,0,0,0,0,0,0
330,,Iggy Houben,0,0,0,0,0,0
331,,Moritz Nicolas,0,0,0,0,0,0
332,,Mike Havekotte,0,0,66.67,0,0,0
333,,Thijs van Leeuwen,0.08,0,46.67,1.23,0,0
334,,Tibo Persyn,0,0.03,47.37,0.27,0,0
335,,Daniel Deen,0,0,100,0,0,0
336,,Reda Akmum,0,0,50,0.3,0,0
337,,Bartłomiej Smolarczyk,0,0,0,0.15,0,0
338,,Ted Van de Pavert,0.04,0.04,100,0.39,0.04,0
339,,Gabi Caschili,0.08,0,44.44,0.69,0.08,0
340,,Kjell Peersman,0,0,0,0.06,0,0
341,,Freek Heerkens,0.05,0.05,100,0.53,0,0
342,,Jaydon Banel,0.12,0,39.74,1.46,0,0
343,,Sylian Mokono,0.1,0,57.14,0.2,0,0
344,,David Mistrafović,0,0,57.14,0.42,0,0
345,,Jarno Lion,0,0,42.86,0.33,0,0
346,,Joshua Sanches,0,0.11,50,0.33,0,0
347,,Dani Mathieu,0.07,0,33.33,0.67,0,0
348,,Vincent Schippers,0.04,0,55,0.46,0.04,0
349,,Arjen Van Der Heide,0.06,0.16,45.45,1.03,0,0
350,,Jeremy Bokila,0.24,0.29,35.71,1.53,0.03,0
351,,Dennis Vos,0,0,66.67,0.24,0,0
352,,Dylan Ryan,0,0,0,0.53,0,0
353,,Max Svensson,0.19,0.03,36.92,0.95,0,0
354,,Roy Kortsmit,0,0,0,0,0,0
355,,Ibane Bowat,0,0,50,0.25,0,0
356,,Rav van den Berg,0,0,100,0.18,0,0
357,,Ro-Zangelo Daal,0.17,0.08,68.18,0.25,0,0
358,,Jelle Goselink,0.16,0.08,56.25,1.32,0,0
359,,Hicham Acheffay,0.14,0,50,0.79,0,0
360,,Mitchell van Rooijen,0.06,0,41.67,0.47,0,0
361,,Lynden Edhart,0.07,0.07,44.68,1.77,0,0
362,,Jop van den Avert,0,0,50,0.23,0,0
363,,Danzell Gravenberch,0.21,0.21,12.5,1.47,0,0
364,,Casper Staring,0,0,57.14,0.37,0,0
365,,Mees Kreekels,0,0.09,22.22,0.18,0,0
366,,Gabriel Misehouy,0.15,0.07,57.5,1.56,0,0
367,,Mees Rijks,0.24,0.38,41.67,1.82,0.03,0
368,,Koen Oostenbrink,0.11,0,20,0.32,0,0
369,,Joeri Schroyen,0.06,0,44.44,0.33,0,0
370,,Ilias Boumassaoudi,0.5,0,100,1,0,50
371,,Ruben Ligeon,0.25,0,100,1,0.25,0
372,,Faiz Mattoir,0.2,0,54.17,1.4,0,0
373,,Joep van der Sluijs,0,0,37.5,1.33,0,0
374,,Håkon Evjen,0,0,0,0,0,0
375,,Stan Wevers,0,0,0,0,0,0
376,,Jorn Berkhout,0,0,0,0,0,0
377,,Anthony Smits,0,0,0,1,0,0
378,,Sven Roos,0,0,0,0,0,0
379,,Fatihi Zakaria,0,0,0,0,0,0
380,,Norbert Alblas,0,0,0,0,0,0
381,,Jesper Uneken,0,0,0,0.5,0,0
382,,Nicolas Abdat,0,0,50,0,0,0
383,,Rody de Boer,0,0,100,0,0,0
384,,Charlie Setford,0,0,0,0,0,0
385,,Vasilios Pavlidis,0,0,100,0.3,0,0
386,,Niek Vossebelt,0.06,0,44.44,0.76,0,0
387,,Faris Hammouti,0.16,0.25,56,1.06,0,0
388,,Tristan Gooijer,0,0.04,69.39,0.46,0,0
389,,Guillem Rodríguez,0,0,22.22,0.32,0,0
390,,Tim Receveur,0,0,40,0.48,0,0
391,,Joel Valencia,0,0,60,0.44,0,0
392,,Yahya Boussakou,0,0.04,44.68,0.79,0,0
393,,Rik Mulders,0.03,0,57.41,0.29,0,0
394,,Mika Godts,0.27,0.18,58.93,2.18,0,0
395,,Gervane Kastaneer,0.04,0.22,52.63,1.26,0,0
396,,Sami Ouaissa,0,0.1,38.71,0.9,0,0
397,,Gabriel Culhaci,0,0,58.33,0.27,0,0
398,,Rowan Besselink,0,0,57.14,0.19,0,0
399,,Navajo Bakboord,0,0,55.56,0.2,0,0
400,,Başar Önal,0.19,0.16,36.44,1.35,0.03,0
401,,Kyvon Leidsman,0.15,0.08,63.64,0.73,0,0
402,,Daniël Beukers,0,0,33.33,0,0,0
403,,Jordy Wehrmann,0.1,0.1,66.67,0.85,0,0
404,,Joshua Smits,0,0,0,0,0,0
405,,ArJany Martha,0.1,0.13,42.19,0.57,0,0
406,,Carl Johansson,0.04,0.04,34,0.7,0,0
407,,Tim Zeegers,0,0,42.86,0.1,0,0
408,,Lars Schenk,0,0,63.64,0.11,0,0
409,,Dailon Rocha Livramento,0.14,0.07,42.86,0.64,0,0
410,,Misha Engel,0.03,0,42.86,0.28,0.03,0
411,,Jordy van der Winden,0,0,69.23,0.78,0,0
412,,Lamine Diaby-Fadiga,0.08,0.17,57.5,1.63,0,0
413,,Mateo Leš,0.06,0,100,0.47,0,0
414,,Nigel Bertrams,0,0,0,0,0,0
415,,Evangelos Patoulidis,0.04,0.04,37.5,0.65,0,0
416,,Kees Smit,0,0,33.33,0.25,0,0
417,,Sten Kremers,0,0,0,0,0,0
418,,Quinten Van den Heerik,0.25,0,20,0.5,0,0
419,,Rafik el Arguioui,0,0.13,66.67,1,0,0
420,,Delano Ladan,0,0.07,25,0.53,0,0
421,,Teun Bijleveld,0.04,0.07,47.06,0.78,0,0
