#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
262,,Hayrullah Bilazer,0.1,0.06,30.87,75.13,7.74,48.03
263,,Leroy Fer,0.07,0.07,47.9,90.33,6.1,66.36
264,,Abdullah Durak,0,0,39,91.45,8,57.14
265,,Erhun Öztümer,0,0,4.5,100,2.25,100
266,,Dorukhan Toköz,0,0,26.83,82.61,3.83,58.82
267,,Babajide David Akintola,0.1,0.03,16.45,80.29,5.34,61.11
268,,Lamine Diack,0.04,0,26.27,87.12,3.88,72.97
269,,Jean Evrard Kouassi,0.06,0.06,12.35,70.48,3,33.33
270,,Saba Lobjanidze,0.42,0.19,16.97,82.89,6.26,70.59
271,,Kaan Kanak,0.06,0,15.94,72.94,3.63,21.21
272,,İrfan Can Eğribayat,0,0,26.38,65.88,0.75,41.67
273,,Stéphane Bahoken,0.12,0.08,11.81,77.52,3.27,20
274,,Andrea Bertolacci,0.1,0.14,27.24,79.72,6.48,46
275,,Murat Paluli,0,0,32.4,80.56,4.8,47.37
276,,Mounir Chouiar,0.09,0.16,22.88,78.14,7.47,63.64
277,,Ebrima Colley,0.26,0.22,16.78,77.26,4.26,44
278,,Mickael Tirpan,0.09,0.04,37.91,77.52,7.22,42.39
279,,Erdem Canpolat,0,0,25.9,64.09,1,34.51
280,,Alaaddin Okumuş,0.21,0.14,18.71,73.66,4.43,35.71
281,,Kamil Ahmet Çörekçi,0.18,0.06,43.41,80.89,7.82,50.48
282,,Jean-Philippe Gbamin,0,0,35.84,84.88,6.42,65.75
283,,Patryk Szysz,0.24,0.16,11.36,77.46,3.64,66.67
284,,Naci Ünüvar,0.13,0.13,17,88.97,6,60
285,,Kenan Karaman,0,0,6,66.67,0,0
286,,Sergen Piçinciol,0,0,21.6,79.63,2,28.57
287,,Muhammed Alperen Uysal,0,0,35,71.43,0.5,40.85
288,,Samba Camara,0,0,25.27,79.14,1.55,48.15
289,,Serdar Gürler,0.1,0.1,21.39,84.31,8.03,50
290,,Uğur Çiftçi,0.22,0.17,32.17,75.81,6.52,28.04
291,,Simon Deli,0.1,0,35.5,80.85,1.1,41.51
292,,Ertuğrul Taşkıran,0,0,30.11,65.31,0.89,36.49
293,,Miha Zajc,0.09,0.17,35.43,88.96,9.04,71.93
294,,Philippe Keny,0.04,0.04,9.88,65.37,2.42,75
295,,Efthymios Koulouris,0,0,12.8,76.56,2.6,100
296,,Fredrik Midtsjø,0.14,0.1,17.67,81.94,4.67,72.22
297,,Oğuz Aydın,0.21,0.04,17.14,78.33,6.64,60.61
298,,Taylan Antalyalı,0.13,0.13,29.1,77.38,7.35,60
299,,Ezgjan Alioski,0.06,0,27.76,84.75,7.06,50
300,,Pedrinho,0.11,0.04,23.11,83.31,4.89,73.27
301,,Onur Ayık,0.03,0,13.97,78.04,4.13,47.06
302,,Bahadır Han Güngördü,0,0,24.71,71.39,0.86,41.46
303,,Kévin Soni,0.33,0.33,9.67,82.76,3,100
304,,Arif Boşluk,0,0,21,72.22,4,50
305,,Bruno Paz,0.04,0.07,23.89,86.85,4.75,64
306,,Necip Uysal,0,0,19.62,88.59,1.95,63.46
307,,Uğurcan Yazğılı,0.07,0,29.93,85.68,1.43,47.17
308,,Welinton,0.07,0,52,81.87,4.14,44.74
309,,Stelios Kitsiou,0.13,0.09,27.59,79.05,6.19,37.65
310,,Yusuf Ozdemir,0.08,0.04,25.56,78.09,5.84,34.43
311,,Berkay Özcan,0.09,0.09,23.56,89.39,7.85,59.46
312,,Andreas Bouchalakis,0.08,0,39.33,84.11,6,68.52
313,,Bertuğ Özgür Yıldırım,0.03,0.03,6.17,60.34,1.24,50
314,,João Pedro Galvão,0.15,0.05,7.8,71.15,2.55,66.67
315,,Dele Alli,0,0,22.69,77.97,5.38,61.9
316,,Hakan Özmert,0.11,0.11,15.67,82.27,2.67,54.17
317,,Georges-Kévin N'Koudou,0.2,0,20.4,79.9,7.7,68.57
318,,Durel Avounou,0.07,0.07,20,77.04,4.85,51.06
319,,Robert Murić,0.18,0.04,9.46,74.72,3.46,72.22
320,,Musa Çağıran,0,0,18.25,82.19,2.83,54.29
321,,Talha Ülvan,0,0,6.71,68.09,1.57,25
322,,Borja Sainz,0.22,0.09,19.44,78.3,5.72,48.84
323,,Efkan Bekiroğlu,0.12,0.04,26.2,85.19,6.8,66.04
324,,Batuhan Ahmet Şen,0,0,36.61,81.49,0.17,40.74
325,,Münir Levent Mercan,0.03,0.03,34,76.47,5.52,42.98
326,,Isaac Sackey,0,0.07,37,87.12,3.93,59.46
327,,Hüseyin Türkmen,0,0,43.86,87.46,3.29,56.41
328,,Luiz Adriano,0.11,0.05,15.11,73.87,4.16,45
329,,Ryan Donk,0,0.05,39.75,79.62,3.25,42.14
330,,Mario Gavranović,0.05,0.05,11.45,76.19,2.86,72.73
331,,Anastasios Chatzigiovanis,0.16,0.08,12.28,81.43,4.44,82.61
332,,Alexis Pérez,0.04,0,45.72,78.57,5.08,46.04
333,,Erencan Yardımcı,0,0.07,3.64,56.86,0.57,66.67
334,,Zinedine Ferhat,0.13,0.09,23.78,79.52,6.78,50
335,,İsmail Yüksek,0,0.05,27.53,86.23,5,70.18
336,,Niko Rak,0,0,3,100,1,0
337,,Umit Akdag,0,0,20,80,0,0
338,,Emirhan Zaman,0,0,22,81.82,4,0
339,,Salih Malkoçoglu,0,0,3,100,1,0
340,,Osman Bugra Erdogan,0,0,1,100,1,0
341,,Francis Nzaba,0,0,3.5,85.71,0,0
342,,Kaan Ayhan,0,0,15.4,89.61,1.8,69.23
343,,Bruno Rodrigues,0,0,36.6,91.8,0.6,80
344,,Joseph Attamah,0.11,0,44.67,90.8,4,61.36
345,,Abdulkadir Parmak,0,0,21.11,89.47,3,71.43
346,,Şener Özbayraklı,0,0,28.3,79.86,3.3,67.65
347,,Alper Uludağ,0.1,0.06,29.97,75.35,6.29,51.47
348,,Stefano Okaka,0.14,0,10.62,79.82,2.81,77.78
349,,Bünyamin Balcı,0.15,0.09,36.62,78.23,5.88,42.41
350,,İbrahim Yilmaz,0.06,0,20.29,68.7,5.06,30
351,,Robert Mejía,0,0,30.31,83.96,5.38,55.95
352,,Umut Güneş,0.07,0.04,36.19,87.51,6.56,63.77
353,,Serdar Aziz,0,0.07,41.29,82.7,2.29,42.03
354,,Mahmut Tekdemir,0.13,0,44.5,83.9,9.08,54.92
355,,Ali Yaşar,0,0,26.2,79.54,4.12,46.67
356,,Dimitris Kolovetsios,0,0,50.9,89.78,2.17,43.23
357,,İlhan Parlak,0.09,0.05,5.91,63.85,1.32,0
358,,Andrej Đokanović,0.07,0,23.21,80.31,4.07,63.33
359,,Emir Kaan Gültekin,0.07,0.07,11.59,73.8,3.63,50
