#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
406,,Yasin Özcan,0.11,0,53.85,0.42,0,0
407,,Berke Özer,0,0,0,0,0,0
408,,Umut Meraş,0,0,22.22,0.2,0,0
409,,Rayane Aabid,0,0,60,0.52,0,0
410,,Kevin Varga,0,0.09,0,0.55,0,0
411,,Tuncer Duhan Aksu,0,0,40,0.11,0,0
412,,Doğucan Haspolat,0.05,0.05,50,0.21,0,0
413,,Joher Khadim Rassoul,0,0,50,0.08,0,0
414,,Kerem Atakan Kesgin,0,0.13,60,0.75,0,0
415,,Sinan Gümüş,0,0.14,50,0.5,0,0
416,,Dylan Saint-Louis,0,0,22.22,0.5,0,0
417,,Ufuk Akyol,0,0,55,0.42,0,0
418,,Anthony Uzodimma,0.06,0.06,30.77,0.19,0,0
419,,Alassane Ndao,0.04,0.04,20,0.52,0,0
420,,Ahmet Engin,0.04,0.07,38.89,0.59,0.04,0
421,,Yusuf Yazıcı,0.23,0,40,1.15,0,0
422,,Berat Ayberk Özdemir,0,0,0,0,0,0
423,,Ahmet Gülay,0,0,0,0,0,0
424,,Erkan Eyibil,0,0,33.33,0,0,0
425,,Hamza Jaganjac,0,0,0,0,0,0
426,,Arda Unyay,0,0,0,0,0,0
427,,Efecan Mizrakci,0,0,0,0,0,0
428,,Samuel Nongoh,0,0,0,0.5,0,0
429,,Ayberk Kaygisiz,0,0,0,0,0,0
430,,Edgar Ié,0,0,100,0,0,0
431,,Ali Kaan Güneren,0,0,0,0,0,0
432,,Serkan Asan,0,0,100,0.25,0,0
433,,Luka Stankovski,0,0,0,0,0,0
434,,Talha Sariarslan,0,0.17,0,0.33,0,0
435,,Patrick Ebert,0,0,0,0.43,0,0
436,,Simon Falette,0,0,100,0.5,0,0
437,,Halil Ibrahim Pehlivan,0,0,60,0.3,0,0
438,,Sherel Floranus,0,0,33.33,0.08,0,0
439,,Ramón Arias,0,0.1,40,0.42,0,0
440,,Djaniny,0,0.24,43.48,0.94,0,0
441,,Kader Keïta,0,0,50,0.73,0,0
442,,Hasan Ali Kaldırım,0,0,22.22,0.5,0,0
443,,Daniel Graovac,0,0.07,100,0.36,0,0
444,,Tomáš Pekhart,0.08,0.25,33.33,0.42,0,0
445,,Fabiano Silva,0,0,60,0.33,0,0
446,,Firatcan Üzüm,0,0,50,0.5,0,0
447,,Kerem Şen,0.14,0.14,40,0.71,0,0
448,,Samed Onur,0,0,0,0.33,0,0
449,,Tunay Torun,0,0,0,0.11,0,0
450,,Mustafa Pektemek,0,0,16.67,0.5,0,0
451,,Ömürcan Artan,0,0,25,0.4,0,0
452,,Yusuf Demir,0,0,36.36,1.2,0,0
453,,Otabek Shukurov,0.04,0,61.11,0.64,0,0
454,,Ersin Destanoğlu,0,0,0,0,0,0
455,,Jordy Caicedo,0.21,0.29,42.86,1.14,0.07,0
456,,Anwan Lawrence,0,0,66.67,0.37,0,0
457,,Mesut Özil,0,0,33.33,0,0,0
