#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
235,,Olarenwaju Kayode,0.18,0,62.5,43.1,1,0.64
236,,Erdoğan Yeşilyurt,0.13,0.03,44.44,49.1,1.4,0.83
237,,Burak Öksüz,0.18,0,56,50.98,0.45,1.09
238,,Geraldo,0.17,0,43.59,50.98,2.03,1.07
239,,Emiliano Viviano,0.24,0,100,88.89,0.12,0.06
240,,Ali Karimi,0.1,0.05,38.3,46.71,0.4,1.15
241,,Emre Kılınç,0.13,0,37.5,43.02,1.23,0.97
242,,Ermir Lenjani,0,0,78.57,61.54,0.67,0.72
243,,Ali Şaşal Vural,0.03,0,100,88.46,0.27,0
244,,Helton Leite,0,0,100,100,0.18,0
245,,Valentin Rosier,0.22,0.04,50,48.95,0.74,0.96
246,,Ángelo Sagal,0.13,0.07,42.86,45.61,1.4,0.93
247,,Rúben Ribeiro,0.21,0.05,37.5,50.66,1.58,1.26
248,,Daniel Candeias,0.19,0,48.39,48.24,0.41,1.04
249,,Jesse Sekidika,0.08,0,64.29,45.88,0.54,0.85
250,,Faruk Can Genç,0.23,0,55.56,47.73,0.23,0.38
251,,Kerim Frei,0,0,12.5,49.32,0.5,0.22
252,,Ayoub El Kaabi,0.14,0,41.18,37.21,0.43,0.62
253,,Antonio Mršić,0.1,0,63.04,44.52,0.53,0.97
254,,Görkem Sağlam,0.1,0,35,41.71,0.48,0.86
255,,Barış Alper Yılmaz,0.2,0,42.37,39.47,0.52,1.44
256,,Artem Dzyuba,0.25,0,64.29,62.5,0.25,0.25
257,,Emre Mor,0.14,0,41.67,54.7,1.39,0.43
258,,Robin Yalçın,0.27,0,60.87,59.72,0.86,0.95
259,,Birkir Bjarnason,0,0,62.5,57.14,0.44,0.11
260,,Mert Hakan Yandaş,0.33,0,40,44.58,0.73,0.93
261,,Zymer Bytyqi,0.11,0,0,37.08,0.26,0.26
262,,Hayrullah Bilazer,0.23,0,55.84,52.83,0.65,0.94
263,,Leroy Fer,0.3,0.03,70.31,55.43,0.7,1.5
264,,Abdullah Durak,0,0,50,50,0,1
265,,Erhun Öztümer,0,0,0,71.43,0.75,0
266,,Dorukhan Toköz,0.17,0,100,45.83,0.5,1
267,,Babajide David Akintola,0.1,0.03,48.57,43.9,0.76,0.97
268,,Lamine Diack,0.27,0,44.44,47.12,0.62,1.73
269,,Jean Evrard Kouassi,0.06,0,21.74,48.51,1.24,0.59
270,,Saba Lobjanidze,0,0,20,37.24,0.26,0.29
271,,Kaan Kanak,0.19,0,33.33,55.56,0.5,0.38
272,,İrfan Can Eğribayat,0.25,0,100,66.67,0.13,0
273,,Stéphane Bahoken,0.12,0,34.44,35.32,0.62,1.46
274,,Andrea Bertolacci,0.29,0,50,51.96,1.48,0.95
275,,Murat Paluli,0,0,33.33,48.46,0.4,0.6
276,,Mounir Chouiar,0.06,0,62.16,46.75,0.81,0.88
277,,Ebrima Colley,0.11,0.04,35.29,45.75,0.93,0.85
278,,Mickael Tirpan,0.39,0,49.18,46.51,1.22,2.52
279,,Erdem Canpolat,0.1,0,0,100,0,0
280,,Alaaddin Okumuş,0,0,60,47.83,0.14,0.57
281,,Kamil Ahmet Çörekçi,0.29,0,37.5,54.78,0.35,0.65
282,,Jean-Philippe Gbamin,0.21,0,54.29,52.27,0.58,1.26
283,,Patryk Szysz,0.04,0,53.33,43.36,0.4,0.28
284,,Naci Ünüvar,0,0.13,66.67,35.9,0.25,0.75
285,,Kenan Karaman,0,0,100,75,1,0
286,,Sergen Piçinciol,0.2,0,50,57.58,0.4,1
287,,Muhammed Alperen Uysal,0.1,0,0,100,0.1,0
288,,Samba Camara,0.09,0,66.67,68.57,0.64,0.82
289,,Serdar Gürler,0.1,0,32.26,41.92,1.26,0.81
290,,Uğur Çiftçi,0.13,0.04,50,51.02,0.61,1.26
291,,Simon Deli,0.1,0.1,42.31,47.37,0,0.2
292,,Ertuğrul Taşkıran,0.06,0,100,91.67,0.28,0.06
293,,Miha Zajc,0.17,0,77.78,46.1,0.65,0.87
294,,Philippe Keny,0.04,0,59.78,52.54,0.65,0.65
295,,Efthymios Koulouris,0.1,0,36,40,0.3,0.9
296,,Fredrik Midtsjø,0.14,0,58.33,51.32,0.48,0.62
297,,Oğuz Aydın,0.07,0,33.33,35.9,0.25,0.54
298,,Taylan Antalyalı,0.1,0,37.14,45.69,1.26,0.71
299,,Ezgjan Alioski,0.06,0,37.04,51.92,1.41,0.71
300,,Pedrinho,0.04,0,50,45.16,0.64,0.89
301,,Onur Ayık,0.07,0,54.17,57.59,1.2,0.5
302,,Bahadır Han Güngördü,0.14,0,100,100,0.07,0
303,,Kévin Soni,0,0,0,31.25,0.33,1.33
304,,Arif Boşluk,0,0,40,54.35,0.17,0.33
305,,Bruno Paz,0.18,0,41.94,48.77,0.82,0.89
306,,Necip Uysal,0.1,0,53.85,51.81,0.33,0.81
307,,Uğurcan Yazğılı,0.07,0,54.17,45.45,0.43,0.93
308,,Welinton,0.36,0.07,66.67,57.48,0.71,1.5
309,,Stelios Kitsiou,0.31,0.03,47.06,50.51,1.06,1.06
310,,Yusuf Ozdemir,0.2,0,58.62,56,1.12,1
311,,Berkay Özcan,0.03,0,54.55,49.76,1.12,0.41
312,,Andreas Bouchalakis,0.17,0,26.67,42.59,0.5,0.92
313,,Bertuğ Özgür Yıldırım,0.07,0,47.52,39.63,0.69,1.28
314,,João Pedro Galvão,0,0.05,41.18,38.93,1,1.6
315,,Dele Alli,0,0,35.29,44.12,1.46,1
316,,Hakan Özmert,0.33,0,50,57.14,1,0.56
317,,Georges-Kévin N'Koudou,0.1,0,27.27,45.39,1.45,0.7
318,,Durel Avounou,0.04,0.04,43.75,45.03,1.19,0.93
319,,Robert Murić,0.07,0,20,48.48,0.25,0.11
320,,Musa Çağıran,0.17,0,81.82,69.64,0.42,0.58
321,,Talha Ülvan,0,0,100,90.91,0.14,0
322,,Borja Sainz,0.28,0.03,20.69,45.76,2.28,1.63
323,,Efkan Bekiroğlu,0.08,0,54.55,49.55,0.56,0.68
324,,Batuhan Ahmet Şen,0.06,0,100,75,0.28,0.06
325,,Münir Levent Mercan,0.03,0,44.74,53.72,0.76,0.45
326,,Isaac Sackey,0.27,0.03,72,56.46,0.7,0.83
327,,Hüseyin Türkmen,0.14,0,55.26,55.56,0.57,0.86
328,,Luiz Adriano,0.11,0.05,60,55.22,1.26,1
329,,Ryan Donk,0.1,0,61.9,60.94,0.9,0.65
330,,Mario Gavranović,0.09,0,22.58,41.96,0.95,1
331,,Anastasios Chatzigiovanis,0.08,0,19.05,47.92,0.4,0.36
332,,Alexis Pérez,0.24,0.04,54.55,54.44,0.64,1.2
333,,Erencan Yardımcı,0,0,43.75,38.46,0.36,0.36
334,,Zinedine Ferhat,0.09,0,50,50.39,0.83,0.48
335,,İsmail Yüksek,0.16,0,68.97,53.04,0.68,1
336,,Niko Rak,0,0,100,66.67,0,0
337,,Umit Akdag,0,0,0,0,0,1
338,,Emirhan Zaman,0,0,100,40,1,3
339,,Salih Malkoçoglu,0,0,0,100,0,0
340,,Osman Bugra Erdogan,0,0,0,100,1,0
341,,Francis Nzaba,0,0,33.33,50,0,0
342,,Kaan Ayhan,0,0,25,44.44,0,0.2
343,,Bruno Rodrigues,0.2,0,27.27,42.86,0.4,0.8
344,,Joseph Attamah,0.11,0,42.86,66.67,1.56,0.22
345,,Abdulkadir Parmak,0,0,50,55,0.67,0.44
346,,Şener Özbayraklı,0,0,78.57,61.11,0.8,0.7
347,,Alper Uludağ,0.29,0,57.45,52.33,0.55,0.97
348,,Stefano Okaka,0.14,0.05,61.54,48.08,1.29,1.57
349,,Bünyamin Balcı,0.09,0.03,28.81,52.61,1.24,0.82
350,,İbrahim Yilmaz,0.24,0,44.21,42.54,1.35,1.12
351,,Robert Mejía,0.21,0,60.32,51.35,1.34,1.34
352,,Umut Güneş,0.15,0.04,45,52.53,0.93,1.33
353,,Serdar Aziz,0.21,0,65,63.16,0.5,0.71
354,,Mahmut Tekdemir,0.33,0.08,46.67,54.41,1.46,1.13
355,,Ali Yaşar,0.08,0,61.29,60,0.72,0.64
356,,Dimitris Kolovetsios,0.1,0,45.31,50.89,0.3,0.23
357,,İlhan Parlak,0.09,0,45.1,45.74,0.5,0.64
358,,Andrej Đokanović,0.07,0,60,54.29,1.36,0.64
359,,Emir Kaan Gültekin,0.07,0,27.27,34.62,0.41,1.04
360,,Gökdeniz Bayrakdar,0.08,0,15.38,37.7,0.38,0.62
361,,Nihad Mujakić,0.19,0,45.24,55.3,0.59,0.59
362,,Burak Bekaroğlu,0,0,50,65.79,0.8,0.8
363,,Ognjen Vranješ,0.4,0,63.64,59.78,0.67,0.6
364,,Ziya Erdal,0.24,0,45.83,58.43,0.71,0.47
365,,Gökhan Sazdağı,0.13,0,53,49.67,0.77,1.06
366,,Brandley Kuwas,0.07,0,26.92,41.05,0.85,0.78
367,,Clinton N'Jie,0,0,31.82,32.66,0.31,1.14
368,,Salih Dursun,0.18,0,65,54.65,0.23,0.55
369,,Ruud Boffin,0,0,0,50,0,0.14
370,,Onurcan Piri,0.09,0,100,93.75,0.3,0.04
371,,Mehdi Boudjemaa,0.26,0,30,52.17,1.11,1.05
372,,Lazar Marković,0.19,0.04,50,47.55,0.52,0.74
373,,Hakan Arslan,0.1,0,47.14,46.74,0.62,0.93
374,,Jesé Rodríguez,0.07,0,0,45.76,0.71,0.64
375,,Fedor Kudryashov,0.31,0,50,52.17,0.69,0.69
376,,Kadir Seven,0.13,0,59.57,57.75,0.27,0.33
377,,Giorgi Beridze,0,0,41.94,45.09,0.93,0.34
