#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
258,,Il-Lok Yun,0.29,0,37.5,55.32,1.29,0.43
259,,Son Ho-Jun,0,0,36.36,63.16,0.42,0.08
260,,Sang-hun Yu,0.05,0,75,72.73,0.2,0
261,,Kim Min-Seok,0,0,15,42.11,0.28,0.06
262,,Daewon Park,0.23,0.03,45.87,47.55,0.39,1
263,,Jae-hyeon Go,0.16,0,28.21,38.66,0.81,0.78
264,,Han-gil Kim,0.17,0,45.45,47.12,0.55,0.62
265,,Min-hyeon Kong,0.1,0,50,49.02,0.4,0.9
266,,Kyeong-hyeon Min,0.04,0,29.17,52.32,0.56,0.56
267,,Welinton Junior,0.11,0,26.67,46.75,2.22,1.11
268,,Jin-ho Kim,0.08,0,56.67,56.43,1.08,0.68
269,,Ji-hun Kang,0.19,0,50,53.7,0.31,0.81
270,,Shi-uh Song,0,0,28.57,40,1.14,0.57
271,,Lee Joon-Ho,0.13,0,21.74,27.78,0.5,0.25
272,,Uh-seok Kim,0,0,44.83,48.39,0.38,0.54
273,,Se-gye Sin,0.07,0,55.42,56.02,0.37,0.73
274,,Jin-woo Jeon,0.1,0,40.74,45.28,0.9,0.52
275,,Byeong-hyeon Park,0.08,0,69.44,62.5,0.83,1.08
276,,Byeon Jun-soo,0.2,0,47.73,47.5,0.4,0.6
277,,Sang-hyeob Lim,0.09,0,34.29,45.52,0.68,0.68
278,,Lim Yoo-seok,0.33,0,50,44.44,0.67,2
279,,Bo-kyung Kim,0.09,0,26.67,43.5,1,0.83
280,,Kim Joo-chan,0,0,13.64,43.33,0.36,0.2
281,,Jeong Jae Yong,0,0,70,46.88,0.14,0.43
282,,Tae-hyeon Ahn,0.08,0,46.88,46.41,0.58,0.71
283,,Yu Je-ho,0.09,0,50,44.44,0.73,1.23
284,,Seung-Yong Jeong,0.09,0,55.77,52.27,0.95,0.82
285,,Chul-soon Choi,0.05,0,53.33,51.22,0.26,0.42
286,,Min-ho Yun,0,0,18.18,21.43,0,0.5
287,,Kim Min-Ho,0,0,50,62.5,0.5,0
288,,Tae-han Kim,0,0,75,50,0.5,0.5
289,,Kim Lee-Seok,0,0,75,43.75,1,2
290,,Lee Jae-wook,0,0,100,50,0,0.5
291,,Lee Gyu-seok,0,0,37.5,52.63,0.6,0.4
292,,Seok-jong Han,0.17,0,0,47.83,1,1
293,,Ju-ho Park,0.14,0,59.26,60,0.79,0.64
294,,Yang Hyun-Jun,0.05,0,37.04,41.75,1.43,1.33
295,,Rafael Silva,0.12,0.04,17.91,32.4,0.4,0.76
