#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
370,,Eun-woo Jeong,0,0,0,0,0,0
371,,Beom-young Lee,0,0,0,0,0,0
372,,Kim Hyun-seo,0,0,0,1,0,0
373,,Jae-min Seo,0,0,0,0,0,0
374,,Hyeong-keun Kim,0,0,0,0,0,0
375,,Paulo Rocha,0,0,44.44,2,0,0
376,,Won-jin Jeong,0,0,0,1.5,0,0
377,,Kim Jong-Seok,0,0,0,0,0,0
378,,Hyun-soo Hwang,0,0,0,0,0,0
379,,Han Jong-Mu,0,0,66.67,0.06,0,0
380,,Jun-jae Myung,0,0.13,25,1,0,0
381,,Sang-ki Lee,0,0,50,0.21,0,0
382,,Gi Sang-wook,0,0,33.33,0.11,0,0
383,,Dae-hwan Kim,0,0,22.22,0.1,0,0
384,,Chang-woo Park,0,0,85.71,0.13,0,0
385,,Sunho Kwon,0,0.08,60,0.42,0,0
386,,Jae-hee Jeong,0.29,0,12.5,0.43,0,0
387,,Seo Dong-han,0,0.33,0,0.67,0,0
388,,Sang-hoon Paik,0,0,0,0.5,0,0
389,,Kyung-rok Park,0,0,50,0,0,0
390,,Yo-han Go,0,0,0,0.17,0,0
391,,Kim Yeong-jun,0,0,20,0.33,0,0
392,,Ju Young-Jae,0.13,0,22.22,0.5,0,0
393,,Son Seung-beom,0,0,0,0,0,0
394,,Yun-ho Jang,0,0,66.67,1.5,0,0
395,,Seong-min Kim,0,0,0,0,0,0
396,,Kyu-hyeong Kim,0,0,33.33,0.4,0,0
397,,Kang Min-Sung,0,0,33.33,0.33,0,0
398,,Hu-sung Oh,0,0,50,0.33,0,0
399,,Jae-hun Choi,0,0,0,0,0,0
400,,Lee Seon-yu,0,0,0,1,0,0
401,,Seung-uh Ryu,0,0.13,13.33,0.75,0,0
402,,Seung-woo Seo,0,0,0,0,0,0
403,,Seong-min Hwang,0,0,0,0,0,0
404,,Sang-ki Min,0,0,0,0.5,0,0
405,,Kwang-Il Park,0,0,0,0,0,0
406,,Kim Jae-hyun,0,0,50,0,0,0
407,,Fabián Mina,0,0,20,0.5,0,0
408,,Jung Jae-yun,0,0,0,0,0,0
409,,Min Junyeong,0,0,0,0,0,0
410,,Sang-jun Kim,0,0,0,1,0,0
411,,Kim Hee-Seung,0,0,0,0,0,0
412,,Kevin Höög Jansson,0,0,0,1,0,0
413,,Park Yong-hui,0,0,0,0,0,0
414,,Cho Jin-hyuk,0,0,0,0.5,0,0
415,,Kim Se-hoon,0,0,0,0,0,0
416,,Jae-min Ahn,0,0,0,0,0,0
417,,Hyeon-woong Choi,0,0,0,0,0,0
