#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
403,,Vilmer Tyren,0,0,0,0,0,0
404,,Deniz Gul,0.33,0,25,25,0.33,1.33
405,,Albin Ahlstrand,0,0,0,75,0.25,0
406,,Christian Kouakou,0,0,0,0,0,0
407,,August Ljungberg,0.2,0,0,28.57,0,0.2
408,,Vilmer Ronnberg,0.08,0,55.56,57.14,0.46,0.69
409,,Ishaq Abdulrazak,0.14,0,12.5,42.31,1.29,1.29
410,,Axel Bjornström,0.29,0.07,60,49.15,0.5,0.86
411,,Anton Kurochkin,0,0,23.08,38.89,1,0.86
412,,Lukas Hägg Johansson,0,0,75,62.5,0.14,0
413,,Andre Picornell,0,0,0,50,0.5,0
414,,Emil Roback,0.33,0,0,16.67,0,0.67
415,,Kevin Holmén,0.33,0,100,53.33,0.33,0.67
416,,Elai Ali Fadel,0.5,0,50,37.5,0,0.5
417,,Astrit Selmani,0.17,0,33.33,31.37,1.17,1.25
418,,Gustav Friberg,0,0,40,30.77,0,1.2
419,,Richie Omorowa,0.33,0,37.5,29.73,0.33,0.89
