#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
220,,Yannick Schmid,0.13,0,58.51,55.41,0.67,0.88
221,,Théo Magnin,0.13,0,50,50,0.13,0.25
222,,Wylan Cyprien,0.28,0.06,66.67,48.25,1,0.89
223,,Noha Ndombasi Nlandu,0,0,100,64.71,0.82,0.09
224,,Jean-Kévin Augustin,0.3,0,36.36,41.73,1.35,0.8
225,,Alessio Besio,0,0,66.67,77.78,0,0
226,,Numa Lavanchy,0.33,0,36.73,54.75,1,0.85
227,,Marc Hornschuh,0.05,0,64.44,55.17,0.37,0.63
228,,Boris Babić,0.12,0,25,35.48,0.54,0.54
229,,Nishan Burkart,0.13,0,39.13,47.78,1.21,0.67
230,,Luca Zuffi,0.05,0,61.11,55.38,0.35,0.3
231,,Selmin Hodza,0.17,0,0,63.16,0.33,0.17
232,,Joel Monteiro,0.04,0,37.5,35.67,0.14,0.93
233,,Hekuran Kryeziu,0.13,0,45.45,54.32,0.61,0.83
234,,Boris Cespedes,0.19,0.06,58.33,48.61,0.19,0.88
235,,Anton Kade,0,0,26.67,43.75,0.72,0.72
236,,Ricardo Azevedo Alves,0.15,0,25,31.94,0.15,0.54
237,,Souleymane Diaby,0.17,0.03,40.48,51.26,0.43,0.8
238,,Sayfallah Ltaief,0.19,0,25,48.66,1,0.67
239,,Mihailo Stevanović,0,0,0,100,1,0
240,,Ilyes Chaibi,0,0,0,40,0,0
241,,Andrea Padula,0,0,0,50,0,0
242,,Samuele Campo,0,0,50,44.44,0.11,0.22
243,,Amir Abrashi,0.3,0,54.55,52.81,1.41,1.3
244,,Kevin Halabaku,0.05,0,44.44,53.62,0.45,0.5
245,,Neftali Manzambi,0.05,0,52.78,44.87,0.68,0.68
246,,Donis Avdijaj,0.29,0,13.33,43.86,0.57,0.71
247,,Michael Gonçalves,0.27,0,22.58,43.88,0.62,1.15
248,,Lei Li,0.17,0,40,50,0.67,0.83
249,,Thibault Klidje,0.07,0,41.67,46,0.29,0.29
250,,Baltazar Costa,0.35,0.04,43.94,43.87,0.54,1.15
251,,Tobias Schättin,0.08,0,46.15,50.99,0.65,0.81
252,,Kevin Fickentscher,0,0,100,100,0,0
253,,Samuel Ballet,0.25,0,8.33,39.25,0.75,1.35
254,,Thibault Corbaz,0.19,0,36.36,43.59,0.52,0.74
255,,Willem Geubbels,0.18,0,55,38,0.06,0.53
256,,Miguel Changa Chaiwa,0.17,0,12.5,27.27,0.33,0.67
