#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
402,,Lukáš Čmelík,0.04,0.13,11.5,55.07,2.96,42.86
403,,Lukas Masek,0.06,0,8.72,71.97,3,38.46
404,,Lukáš Skovajsa,0,0,22.12,70.48,4.29,34.25
405,,Ondřej Petrák,0,0,19,71.49,2.08,42.86
406,,Jakub Necas,0,0,10.56,66.27,2.69,28
407,,Pavel Juroska,0,0,5.31,62.32,1.15,25
408,,Branislav Sluka,0.07,0.07,15,71.9,3.71,32.14
409,,Jan Silný,0.06,0.13,9.56,60.78,2.38,50
410,,Radim Řezník,0,0,22.4,72.32,5.6,41.18
411,,Ladislav Muzik,0,0,2.85,68.83,1,50
412,,Ladislav Kodad,0.05,0,11.14,60.26,2.14,32.26
413,,Matej Radosta,0,0,12.64,63.31,2.64,29.17
