#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
286,,Martin Polaček,0,0,0,50,0.17,0.17
287,,Jan Mejdr,0.15,0,56,46.27,0.96,1.27
288,,David Pech,0.13,0,36.36,43.69,0.7,0.78
289,,Michal Fukala,0,0,50,49.23,0.42,0.42
290,,Antonin Fantis,0.15,0,28,37.23,0.6,0.9
291,,Jiří Skalák,0.05,0,26.67,38.98,1,0.71
292,,Fortune Akpan Bassey,0,0,36,32.61,0.17,0.42
293,,Kamil Vacek,0.3,0,50,47.4,0.7,1.43
294,,David Vaněček,0.13,0,75,55.56,0.25,0.25
295,,David Stepanek,0.21,0,27.27,56.06,0.36,0.79
296,,Michal Leibl,0.33,0.13,50,46.51,1.07,1.53
297,,Matěj Helešic,0.11,0.04,50,55.56,1,0.93
298,,Jakub Klíma,0.23,0,60.53,56.44,0.48,0.74
299,,Jan Hlavica,0.17,0,62.5,53,0.13,1.25
300,,Jakub Janetzky,0.12,0,51.72,49.52,0.77,0.85
301,,Matyáš Kozák,0.04,0,27.27,35.85,0.43,0.52
302,,Jan Fortelný,0.07,0,33.33,47.17,0.57,0.79
303,,Daniel Souček,0.04,0,53.57,55.22,0.5,0.75
304,,Jan Hladík,0,0,40.91,42.96,0.84,0.55
305,,Antonín Křapka,0,0,48.78,48.78,0.17,0.48
306,,Marek Hlinka,0.14,0,51.61,52.17,0.23,0.82
307,,Ubong Ekpai,0,0,47.62,50.88,0.75,0.75
308,,Tadeas Vachousek,0.06,0,0,31.58,0.44,0.38
309,,Mohamed Tijani,0.29,0,70,59.34,0.59,1.24
310,,Samuel Dancak,0.18,0,55.56,50,0.55,1
311,,Jakub Matoušek,0.21,0,50,43.59,0.64,0.79
312,,David Huf,0,0,0,25,0,0.63
313,,Jakub Urbanec,0.04,0,40.74,43.18,1.21,1.14
314,,Emil Tischler,0.05,0,16.67,45,0.65,0.55
315,,Joshua Akpudje,0.14,0,56.67,55.38,0.36,0.93
316,,Filip Mucha,0.2,0,50,50,0.2,0.07
317,,Václav Procházka,0.22,0.04,71.05,62.16,0.7,0.74
318,,Ivan Varfolomieiev,0.14,0,36.36,45.45,0.36,1
319,,Gigli Ndefe,0.14,0.09,40,48.21,0.95,1.41
320,,Daniel Holzer,0,0,38.1,42.86,0.72,0.32
321,,Robert Mišković,0.05,0,72.73,45.57,0.77,0.86
322,,Patrik Žitný,0,0,33.33,40,0.33,0.6
323,,Michal Kohút,0.24,0,42.86,44.87,0.82,1.12
324,,Martin Novy,0.07,0,0,66.67,0.2,0.07
325,,Dāvis Ikaunieks,0.05,0,23.53,28.57,0.3,0.15
326,,Patrik Šimko,0.07,0,50,54.35,0.5,0.79
327,,Denis Granečný,0.29,0,61.76,58.15,0.61,0.96
328,,Filip Blecha,0.09,0,16.67,32.61,0.32,0.59
329,,Daniel Smekal,0,0,55.56,42.86,0,0.67
330,,Matej Sin,0.09,0,50,37.84,0.27,0.91
331,,Michal Beran,0.17,0,31.25,48.35,0.58,0.5
332,,Pech Dominik,0,0,0,100,1,0
333,,Vlastimil Hruby,0,0,0,0,0,0
334,,Libor Bobcik,0,0,0,50,0,1
335,,Adam Goljan,0,0,0,100,0.5,0
336,,Adam Hloušek,0,0,0,50,0,0
337,,Martin Košťál,0,0,0,0,0,0
338,,Daniel Šmiga,0,0,0,40,0.5,0.5
339,,David Krch,0,0,0,66.67,0.5,0
340,,Tomáš Polyak,0.14,0,100,57.14,0.14,0.29
341,,Samuel Šimek,0.29,0,33.33,50,0.29,0.57
342,,Pavel Dvorak,0.12,0,75,41.18,0.18,0.35
343,,Martin Sladký,0.14,0,48.39,54.21,0.55,0.64
344,,Denis Donát,0.15,0,42.11,41.43,0.35,0.8
345,,Lukáš Greššák,0.05,0,58.33,50,0.26,0.47
346,,Vojtech Stransky,0.07,0,40,40.63,0.53,0.53
