Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ardon Jashari,0.03,0.0,73.91,1.09,0.0,0.0,1.48,0.91,0.0,0.85,0.0,0.64,0.12,0.09,43.12,82.57,6.73,60.87,0.0,0.12,0.0,0.0,1.15,0.33,0.12,0.03,54.55,59.23,1.12,0.85,33,1,3,Suiza Super League,3
Cheikh Niasse,0.0,0.0,75.0,0.38,0.0,0.0,1.73,1.88,0.0,0.92,0.0,0.62,0.08,0.04,32.23,85.68,3.92,62.34,0.0,0.19,0.0,0.0,0.54,0.12,0.27,0.0,54.69,58.74,1.0,0.81,26,1,3,Suiza Super League,3
Riccardo Calafiori,0.0,0.04,63.33,0.61,0.0,0.0,2.0,1.65,0.04,2.17,0.04,0.43,0.09,0.04,42.65,83.79,6.35,48.98,0.0,0.22,0.0,0.0,0.61,0.22,0.22,0.04,66.67,60.87,1.0,1.35,23,1,2,Suiza Super League,3
Steve Rouiller,0.05,0.0,100.0,0.36,0.05,0.0,1.0,1.27,0.05,2.95,0.0,0.41,0.0,0.0,41.32,86.36,3.23,64.91,0.0,0.23,0.0,0.0,0.86,0.09,0.18,0.05,50.0,53.13,0.59,0.82,22,3,2,Suiza Super League,3
Gaël Clichy,0.04,0.0,81.82,0.35,0.0,0.0,1.31,1.62,0.0,2.19,0.04,0.92,0.08,0.04,47.85,73.95,10.35,44.77,0.0,0.23,0.0,0.0,0.81,0.31,0.15,0.0,56.14,57.23,0.58,0.69,26,3,2,Suiza Super League,3
Ibrahima Ndiaye,0.0,0.0,100.0,1.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,64.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,50.0,53.85,0.33,0.33,3,2,3,Suiza Super League,3
Reto Ziegler,0.08,0.0,80.0,0.24,0.04,1.33,0.96,1.44,0.08,2.72,0.04,0.56,0.16,0.16,48.2,82.32,6.4,48.36,0.0,0.12,0.0,0.0,1.84,0.12,0.2,0.0,53.13,52.94,0.44,0.8,25,3,2,Suiza Super League,3
Guilherme Schettine,0.32,0.0,42.86,1.68,0.11,0.0,0.47,0.11,0.0,0.32,0.0,0.11,0.0,0.11,14.21,67.78,4.21,30.43,0.0,0.0,0.0,0.0,0.95,0.05,0.32,0.0,50.0,42.98,0.63,1.21,19,2,4,Suiza Super League,3
Filip Ugrinić,0.03,0.1,54.24,1.55,0.0,0.0,1.24,0.52,0.0,0.38,0.0,0.55,0.1,0.1,25.14,82.44,8.66,66.67,0.0,0.14,0.0,0.0,0.62,0.1,0.1,0.0,25.0,47.47,0.79,1.07,29,1,3,Suiza Super League,3
Anthony Racioppi,0.0,0.0,100.0,0.0,0.0,0.0,0.05,0.0,0.0,0.47,0.0,0.05,0.0,0.0,32.74,72.83,0.89,46.1,2.58,0.26,0.11,0.0,0.95,0.05,0.0,0.0,100.0,92.31,0.11,0.0,19,1,1,Suiza Super League,3
Aurele Amenda,0.0,0.0,100.0,0.38,0.0,0.0,0.88,1.13,0.0,3.44,0.0,0.25,0.0,0.0,47.13,84.35,4.44,57.46,0.0,0.13,0.0,0.0,0.75,0.06,0.13,0.0,74.55,69.23,0.38,0.69,16,1,2,Suiza Super League,3
Milton Valenzuela,0.07,0.0,55.56,0.77,0.0,0.0,2.2,1.23,0.0,1.67,0.03,1.03,0.1,0.1,46.0,75.87,11.13,47.83,0.0,0.17,0.0,0.0,1.17,0.07,0.27,0.03,48.0,52.46,0.83,1.0,30,2,2,Suiza Super League,3
Tomás Ribeiro,0.11,0.04,83.33,0.56,0.04,0.0,1.19,1.19,0.04,4.59,0.0,0.37,0.04,0.04,39.37,78.55,2.56,44.66,0.0,0.11,0.0,0.0,1.41,0.11,0.26,0.0,53.52,60.51,0.74,0.67,27,1,2,Suiza Super League,3
Ulisses Garcia,0.04,0.0,54.41,1.41,0.0,0.0,1.52,0.81,0.0,0.78,0.04,0.78,0.22,0.26,39.07,81.71,8.48,56.56,0.0,0.15,0.0,0.0,0.67,0.04,0.15,0.04,77.78,53.68,0.67,0.89,27,2,2,Suiza Super League,3
André Moreira,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.04,0.0,0.75,0.07,0.04,0.0,0.0,35.43,66.53,1.14,36.99,3.57,0.11,0.18,0.07,1.57,0.07,0.11,0.0,66.67,70.0,0.07,0.0,28,2,1,Suiza Super League,3
Ole Selnaes,0.0,0.0,66.67,0.0,0.0,0.0,1.25,0.75,0.0,0.56,0.0,0.44,0.13,0.06,30.5,83.61,6.31,59.26,0.0,0.13,0.0,0.0,0.81,0.19,0.31,0.0,55.0,59.72,0.63,0.69,16,2,3,Suiza Super League,3
Dominik Schmid,0.0,0.0,41.94,0.79,0.0,0.0,1.65,1.65,0.06,2.68,0.0,0.5,0.12,0.03,30.91,69.46,5.26,34.31,0.0,0.06,0.0,0.0,1.44,0.06,0.18,0.0,56.04,56.15,0.76,1.0,34,2,2,Suiza Super League,3
Jonathan Sabbatini,0.09,0.03,57.89,0.97,0.0,0.0,1.69,1.23,0.0,1.23,0.0,1.14,0.03,0.06,46.17,80.94,7.83,58.33,0.0,0.2,0.0,0.0,1.14,0.09,0.11,0.0,51.43,48.45,1.11,1.49,35,3,3,Suiza Super League,3
Christian Gentner,0.1,0.0,0.0,1.0,0.0,0.0,0.7,0.6,0.0,0.2,0.0,0.5,0.0,0.1,15.5,80.65,4.6,60.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,60.0,61.9,0.3,0.0,10,3,3,Suiza Super League,3
Luuk Breedijk,0.17,0.17,0.0,0.33,0.0,0.0,0.83,0.33,0.0,0.33,0.0,0.33,0.0,0.0,3.0,61.11,0.5,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,66.67,46.67,0.0,0.17,6,1,4,Suiza Super League,3
Pascal Loretz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.86,0.0,0.0,0.0,0.0,26.0,71.43,0.71,47.42,3.14,0.14,0.86,0.0,1.14,0.14,0.14,0.0,100.0,50.0,0.0,0.14,7,1,1,Suiza Super League,3
Marius Müller,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.8,66.59,2.12,43.76,3.12,0.16,0.08,0.04,1.16,0.44,0.16,0.0,100.0,100.0,0.12,0.0,25,2,1,Suiza Super League,3
Nikola Boranijašević,0.0,0.03,64.41,0.79,0.0,0.0,2.27,1.12,0.0,1.79,0.0,1.15,0.21,0.12,35.21,63.08,7.42,36.65,0.0,0.21,0.0,0.0,1.27,0.06,0.24,0.0,28.38,51.04,1.21,0.82,33,3,3,Suiza Super League,3
Chadrac Akolo,0.22,0.13,50.0,1.91,0.0,0.0,0.47,0.09,0.0,0.13,0.0,0.53,0.06,0.16,12.38,77.78,5.22,66.67,0.0,0.03,0.0,0.0,0.53,0.09,0.03,0.0,50.0,41.14,0.41,0.31,32,2,4,Suiza Super League,3
Yoan Severin,0.07,0.07,56.25,0.37,0.0,0.0,1.11,1.15,0.0,3.15,0.04,0.04,0.0,0.0,38.85,87.04,2.93,45.99,0.0,0.3,0.0,0.0,0.85,0.33,0.04,0.0,53.23,55.1,0.33,0.7,27,2,2,Suiza Super League,3
Mohamed El Amine Amoura,0.26,0.26,54.72,1.45,0.1,0.0,0.9,0.45,0.0,0.26,0.0,0.87,0.16,0.13,10.03,63.99,2.9,38.46,0.0,0.0,0.0,0.0,0.39,0.03,0.06,0.0,51.43,47.98,0.65,0.71,31,1,4,Suiza Super League,3
Nicolas Vouilloz,0.0,0.07,62.5,0.73,0.0,0.0,1.6,1.33,0.03,3.6,0.0,0.63,0.03,0.0,42.9,82.44,3.07,45.05,0.0,0.3,0.0,0.0,0.93,0.33,0.13,0.0,52.34,56.43,0.73,0.77,30,1,2,Suiza Super League,3
Sandro Lauper,0.1,0.0,44.44,1.05,0.0,0.0,1.85,1.2,0.0,0.7,0.05,1.15,0.1,0.1,36.65,84.31,8.45,57.33,0.0,0.25,0.0,0.0,0.65,0.0,0.05,0.0,61.29,48.2,0.15,1.05,20,2,3,Suiza Super League,3
Kreshnik Hajrizi,0.05,0.0,37.5,0.58,0.05,0.0,1.47,1.16,0.0,3.53,0.05,0.89,0.05,0.0,43.42,86.06,3.37,57.03,0.0,0.11,0.0,0.0,0.84,0.11,0.42,0.0,60.61,55.26,1.79,1.74,19,1,2,Suiza Super League,3
Pascal Schürpf,0.17,0.24,21.88,2.0,0.03,0.0,1.14,0.41,0.0,0.79,0.0,1.07,0.28,0.17,22.79,60.82,7.03,33.33,0.0,0.0,0.0,0.0,0.93,0.21,0.14,0.03,54.72,43.93,0.86,1.24,29,3,3,Suiza Super League,3
Mattia Bottani,0.04,0.0,56.9,0.92,0.0,0.0,0.5,0.62,0.0,0.15,0.0,0.5,0.15,0.08,24.46,82.23,8.46,68.0,0.0,0.0,0.0,0.0,0.85,0.04,0.0,0.04,21.21,45.66,1.0,0.5,26,3,4,Suiza Super League,3
Michael Kempter,0.0,0.0,57.14,1.0,0.0,0.0,2.6,1.2,0.0,1.2,0.0,0.3,0.0,0.0,24.0,75.83,7.2,45.45,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,58.33,69.51,1.6,0.7,10,2,2,Suiza Super League,3
Nikola Katić,0.05,0.09,40.0,0.82,0.0,0.0,1.59,1.32,0.05,4.68,0.0,0.55,0.0,0.0,41.09,80.42,1.68,38.93,0.0,0.32,0.0,0.0,1.05,0.05,0.32,0.0,65.17,61.17,0.82,0.91,22,2,2,Suiza Super League,3
Mirlind Kryeziu,0.07,0.0,0.0,0.71,0.07,0.0,1.14,0.86,0.0,4.79,0.0,0.57,0.0,0.0,39.57,79.24,2.43,43.44,0.0,0.07,0.0,0.0,1.57,0.29,0.5,0.07,55.56,53.41,0.43,0.93,14,2,2,Suiza Super League,3
Jonathan Okita,0.24,0.21,54.26,2.14,0.0,0.0,0.45,0.1,0.0,0.03,0.0,0.48,0.28,0.1,15.41,69.8,5.24,53.13,0.0,0.07,0.0,0.0,0.93,0.07,0.1,0.03,32.76,36.51,0.31,0.97,29,2,4,Suiza Super League,3
Roman Macek,0.0,0.03,76.92,0.41,0.0,0.0,0.83,0.66,0.0,0.62,0.0,0.59,0.24,0.28,23.31,81.21,5.48,60.53,0.0,0.0,0.0,0.0,0.52,0.1,0.1,0.0,42.11,52.83,0.48,0.34,29,2,3,Suiza Super League,3
