Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Matthew Millar,0.19,0.04,38.64,0.77,0.08,0.0,1.85,1.19,0.04,2.46,0.0,0.88,0.08,0.04,30.96,71.55,7.31,31.3,0.0,0.15,0.0,0.0,1.46,0.31,0.19,0.0,60.0,53.68,1.08,1.12,26,2,2
Jay Barnett,0.0,0.1,0.0,0.8,0.0,0.0,0.9,0.2,0.1,1.0,0.0,0.1,0.0,0.0,21.7,87.56,6.1,52.94,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,36.84,46.15,0.2,0.4,10,1,3
Ramy Najjarine,0.08,0.08,18.18,0.75,0.0,0.0,0.92,0.17,0.0,0.0,0.0,0.42,0.17,0.08,13.0,87.82,4.83,44.44,0.0,0.0,0.0,0.0,0.5,0.08,0.08,0.0,9.09,46.03,1.25,0.17,12,1,3
Paulo Retre,0.04,0.08,56.52,0.46,0.0,0.0,1.62,0.5,0.0,0.35,0.0,0.77,0.04,0.08,32.69,88.24,5.88,71.43,0.0,0.04,0.0,0.0,0.85,0.15,0.19,0.04,30.0,47.4,0.46,0.81,26,2,3
Ben Folami,0.04,0.04,53.0,1.12,0.0,0.0,0.54,0.23,0.0,0.35,0.0,0.27,0.12,0.04,20.5,77.3,5.81,31.58,0.0,0.0,0.0,0.0,0.85,0.08,0.04,0.0,35.71,47.06,0.85,0.27,26,1,3
Stefan Nigro,0.0,0.06,41.18,0.29,0.0,0.0,1.06,0.59,0.0,1.12,0.0,0.41,0.0,0.0,32.35,77.45,6.76,35.38,0.0,0.06,0.0,0.0,0.71,0.0,0.06,0.0,31.82,43.21,0.18,0.65,17,2,2
Nikolai Topor-Stanley,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.93,0.07,3.6,0.0,0.27,0.07,0.07,45.87,83.28,3.4,39.47,0.0,0.2,0.0,0.0,1.0,0.27,0.13,0.13,68.25,64.44,0.2,0.53,15,3,2
Patrick Yazbek,0.0,0.0,80.0,0.36,0.0,0.0,1.21,0.43,0.0,0.57,0.0,0.5,0.07,0.14,20.43,86.01,4.64,41.18,0.0,0.0,0.0,0.0,0.71,0.07,0.07,0.0,46.15,49.32,0.21,0.5,14,1,3
Cameron Windust,0.0,0.0,100.0,0.14,0.0,0.0,0.14,0.57,0.0,2.43,0.0,0.14,0.0,0.0,31.14,88.07,2.0,46.67,0.0,0.0,0.0,0.0,0.43,0.14,0.29,0.0,66.67,47.62,0.14,0.86,7,1,2
Sasha Kuzevski,0.0,0.25,100.0,0.5,0.0,0.0,0.88,0.13,0.0,0.25,0.0,0.5,0.0,0.0,7.25,77.59,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,57.69,0.63,0.25,8,1,2
Al Hassan Toure,0.13,0.13,43.9,1.39,0.0,0.0,0.26,0.26,0.04,0.09,0.0,0.57,0.3,0.22,13.3,80.72,4.43,61.54,0.0,0.09,0.0,0.0,0.7,0.22,0.09,0.0,36.36,37.07,0.65,0.43,23,1,3
Daniel Stynes,0.06,0.0,56.25,0.75,0.0,0.0,0.81,0.31,0.06,0.06,0.0,0.63,0.13,0.06,13.13,79.52,4.06,81.82,0.0,0.0,0.0,0.0,0.44,0.06,0.06,0.0,37.5,46.15,1.06,0.63,16,2,3
Nicolas Milanovic,0.19,0.04,36.84,0.63,0.0,0.0,0.56,0.15,0.0,0.37,0.0,0.33,0.04,0.07,8.07,72.02,1.85,40.0,0.0,0.0,0.0,0.0,0.41,0.04,0.15,0.0,53.7,45.27,0.33,0.56,27,1,3
Callan Elliot,0.04,0.04,48.78,0.28,0.0,0.0,2.0,0.6,0.08,2.12,0.0,1.12,0.12,0.16,35.56,82.34,5.72,31.82,0.0,0.2,0.0,0.0,1.4,0.16,0.28,0.0,44.68,49.16,1.04,1.12,25,1,2
Scott Wootton,0.0,0.1,0.0,0.29,0.0,0.0,0.57,0.71,0.0,3.38,0.0,0.43,0.1,0.05,63.48,91.07,2.67,47.83,0.0,0.14,0.0,0.0,1.38,0.29,0.19,0.0,48.53,47.42,0.05,0.43,21,3,2
Noah Smith,0.0,0.0,25.0,0.54,0.0,0.0,1.92,1.15,0.0,0.92,0.0,0.69,0.15,0.0,21.0,75.46,3.92,44.12,0.0,0.0,0.0,0.0,0.62,0.08,0.08,0.0,53.85,53.85,0.15,0.62,13,1,2
Tomi Jurić,0.17,0.0,0.0,0.33,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0,3.33,65.0,1.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,57.14,62.5,0.0,0.0,6,3,4
Adrian Vlastelica,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,5.0,0.0,0.0,0.0,0.0,58.0,81.9,5.0,40.91,0.0,0.0,0.0,0.0,2.5,0.5,0.5,0.0,42.86,50.0,0.5,1.0,2,2,2
Ben Azubel,0.0,0.33,0.0,1.5,0.0,0.0,0.67,0.0,0.0,1.83,0.0,0.67,0.0,0.0,8.5,72.55,1.83,100.0,0.0,0.0,0.0,0.0,0.83,0.0,0.17,0.0,46.15,47.06,1.33,1.17,6,2,4
