#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
357,,Ilya Gaponov,0,0,28.75,83.7,2.44,56.52
358,,Gyrano Kerk,0.12,0.06,12.47,57.55,3.88,16.67
359,,Vladimir Obukhov,0,0,5.36,79.66,2.09,50
360,,Ayaz Guliev,0.05,0.05,35.21,81.46,8.95,50
361,,Artem Samsonov,0.05,0.05,33.59,66.58,3.73,33.88
362,,Ákos Kecskés,0,0,22,77.27,1,25
363,,Luka Tsulukidze,0,0,3,100,1,0
364,,Rustam Khalnazarov,0,0,2,100,0,0
365,,Dmytro Ivanisenia,0,0,39,80.77,7,73.33
366,,Dmitriy Kratkov,0,0,7.5,86.67,1,0
367,,Magomed Yakuev,0,0,3,66.67,2,0
368,,Aleksey Baranovskiy,0,0,7,66.67,2.33,0
369,,Miha Mevlja,0,0,28.5,88.6,0.75,61.54
370,,Daniil Odoevski,0,0,14.25,84.21,0,40
371,,Nikolay Rasskazov,0.06,0,15.25,75.41,4.25,61.54
372,,Daniil Kulikov,0,0.08,14.77,75,3.85,46.15
373,,Leo Goglichidze,0,0.04,27.04,79.09,5.15,38.82
374,,Eli Dasa,0.05,0.09,36.09,75.94,9.64,37.8
375,,Maciej Rybus,0.13,0.13,18,84.72,5.38,38.46
376,,Ruslan Magal,0.04,0,13.2,76.06,3.16,27.91
377,,Kirill Glebov,0.17,0,5.83,62.86,1.67,100
378,,Artem Ntumba Muamba,0,0,1.14,37.5,0.29,0
379,,Kirill Bozhenov,0.18,0.09,18.18,73,3.09,50
380,,Nikola Antić,0.09,0,30.18,67.17,7.09,35.48
381,,Amur Kalmykov,0,0,8,57.5,1.2,100
382,,Egor Danilkin,0,0,28,80,3.4,33.33
383,,Evgeniy Tatarinov,0,0,2.7,81.48,1.4,0
384,,Oleg Shatov,0,0,18.25,78.08,3.25,40
385,,Yordy Reyna,0,0.18,25.27,80.22,6.64,61.29
386,,Alexey Keniaykin,0,0,21.64,60.5,1.27,36.81
387,,Maksim Turishchev,0.04,0.04,9.54,70.74,2.38,30
