Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Jan Kopic,0.14,0,47.06,1.33,0.05,0,0.33,0.38,0,0.24,0,0.14,0.19,0.14,18.71,74.81,7.19,59.38,0,0,0,0,0.95,0.1,0.05,0,25,38,1.05,0.95,21
David Šimek,0.07,0.04,66.67,0.96,0.07,0,0.86,1.14,0.04,3,0,0.25,0,0.04,30.89,71.91,2.57,35.19,0,0.21,0,0,1.25,0.14,0.07,0.04,60.71,51.8,0.43,1.32,28
Vojtěch Sychra,0.1,0.03,40,0.48,0,0,1.21,0.31,0,0.17,0,0.28,0.07,0,10.69,67.1,3.28,54.84,0,0,0,0,0.76,0.17,0.03,0,27.27,41.53,0.24,1.1,29
Adam Karabec,0.09,0.04,55,0.57,0,0,0.22,0.04,0,0.04,0,0,0.04,0,13.74,76.58,5.48,54.17,0,0,0,0,0.43,0.09,0.17,0,25,46.91,0.83,0.7,23
Ladislav Krobot,0.18,0.05,0,0.95,0.09,0,0.27,0,0,0.09,0,0,0,0,5.41,63.03,1.45,33.33,0,0,0,0,0.36,0.05,0.18,0,40,36.17,0.23,0.73,22
Filip Kaša,0,0,0,0.85,0,0,0.85,0.77,0,2,0.08,0,0,0,39.85,80.31,4,44.79,0,0.15,0,0,1.15,0.08,0.08,0,56.52,61.54,0.69,0.62,13
Vlastimil Danicek,0.1,0.1,54.55,0.9,0,0,1.33,1.03,0,1.57,0,0.5,0.03,0,35.3,73.37,4.13,50.74,0,0.33,0,0,0.9,0.17,0.1,0.03,44.83,45.45,0.43,1.43,30
Jakub Jankto,0.07,0,27.27,1.07,0,0,0.33,0.4,0,0.13,0,0.2,0,0,15.33,71.74,4.27,34.78,0,0,0,0,0.47,0.07,0.27,0,50,47.62,1.13,0.67,15
Petr Jaroň,0.04,0.04,50,0.52,0,0,0.48,0.17,0,0.09,0,0,0.09,0.13,9.52,69.86,3.17,28,0,0,0,0,0.43,0.04,0.09,0,27.27,51.47,0.78,0.39,23
Jan Vondra,0,0,100,0.47,0,0,1.06,1.47,0,3.65,0,0.29,0,0,27.47,59.53,4.94,36.72,0,0.29,0,0,1.06,0.12,0.29,0,32.43,53.92,1.24,0.82,17
Matěj Koubek,0.13,0.13,0,1.03,0.07,0,0.13,0.03,0,0.07,0,0.03,0.03,0.03,9.03,59.78,2.37,50,0,0,0,0,0.7,0.03,0.07,0,43.84,42.54,0.73,0.77,30
Tomas Vondrasek,0.05,0,33.33,0.42,0,0,1.11,1.32,0,2.63,0,0.26,0.05,0,39.32,70.82,5.53,41.34,0,0.11,0,0,1.26,0.26,0.11,0.05,50,58.33,1.68,0.95,19
Petr Kurka,0,0,0,0,0,0,0,0.67,0,1.67,0,0,0.33,0.33,13,69.23,3.33,66.67,0,0,0,0,0.67,0,0,0,33.33,25,0,0,3
Kristi Qose,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,94.74,5,100,0,0,0,0,0,0,0,0,0,0,0,0,1
Vukadin Vukadinović,0.06,0.03,30,0.74,0,0,0.74,0.23,0,0.16,0,0.13,0.03,0.1,12.71,74.87,5.65,60,0,0,0,0,0.84,0.1,0.1,0,17.65,40.56,0.68,0.55,31
