#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
314,,Belal El Sayed,0.05,0.05,27.6,78.99,6.05,46.15
315,,Hesham Balaha,0,0,19.64,82.41,4.64,69.23
316,,Malek Baayou,0,0,25,76,5.33,41.18
317,,Ahmed Emad,0,0,21.36,69.79,2,37.84
318,,Ahmed El-Saghiri,0.03,0,21.13,75.55,3.7,37.25
319,,Khaled Stouhi,0,0,29.44,70.06,2.06,35.71
320,,Khaled Kamar,0.11,0.11,9.89,61.17,1.47,55.56
321,,Mohamed Hamdi,0.04,0.11,26.52,74.72,5.7,44.44
322,,Firas Chaouat,0.05,0.05,17,66.39,5.14,33.33
323,,Ibrahim Adel,0.05,0,19.59,79.12,7.41,64
324,,Ahmed Madbouli,0.1,0.14,24.1,71.67,7.93,39.76
325,,Ahmed Mostafa,0.04,0.08,25.72,76.05,7.2,40.32
326,,Sayed Abdallah,0.12,0.08,22.54,85.49,6.65,58.06
327,,Karim El Tayeb,0.06,0.06,8.63,61.59,2.44,25
328,,Saeed Kamal,0,0,40,76.25,3.5,20
329,,Mohamed Abdel Aati,0,0,27.71,79.9,7,72.55
330,,Ahmed Sayed Gharib,0.25,0.25,3,58.33,1.25,50
331,,Amr Marey,0.2,0.2,9.8,79.59,4.4,0
332,,Ahmed Yehia,0,0,10,100,0,100
333,,Ahmed Afifi,0,0,8,62.5,1,0
334,,Mohamed El Nahass,0,0,5,80,1,100
335,,Ahmed Esho,0,0,17,79.41,7,0
336,,Hassan Tarek,0,0,6.5,61.54,2,0
337,,Yehia Hamed,0,0,4,62.5,0,0
338,,Mohamed Hossam,0,0,9.33,75,3.33,20
339,,Ibrahim Galal,0,0,6,61.11,0.33,0
340,,Youssef Magdy Abdel Ghani,0,0,0.67,50,0,0
341,,Mohamed Abdel Shafi,0,0,34,75,8.25,30.77
342,,Omar Bassam,0,0,10.3,70.87,2.1,75
343,,Mohamed Ramadan,0.09,0,13.45,79.73,3.64,54.17
344,,Ahmed Yassin,0,0,35.39,78.18,1.83,41.03
345,,Mohamed Atwa,0,0,27.48,73.65,1.16,36.75
346,,Osama Faisal,0,0,14.04,69.04,3.7,37.5
347,,Osama Ibrahim,0.1,0.05,31.05,66.41,3.48,46.67
348,,Amr Shaaban,0.1,0,29.1,68.04,0.8,31.45
349,,Mohamed Naguib,0,0,29.59,71.1,2.24,38.94
350,,Abdo Yehia,0.14,0.04,11.89,65.17,3.54,53.85
351,,Marwan Dawoud,0,0,25.24,70.86,4.18,28.17
352,,Ragab Omran,0.06,0,12.72,67.25,3.5,29.17
353,,Azmi Ghouma,0.04,0,18.4,72.83,3.44,38.46
354,,Mody Naser,0,0,24.05,75.25,4.38,50
355,,Mohamed Sherif,0.05,0.05,9.23,71.92,2.36,44.44
356,,Abdel Aziz El Balouti,0,0,23.16,47.95,0.74,34.4
357,,Islam Gamal,0,0,18.67,75,4.58,46.67
358,,Ahmed El Nadry,0.03,0.03,30.97,83.15,5.84,54.89
359,,Salah Rico,0,0,13.14,78.26,2.57,73.33
360,,Ibrahim Ayoola,0,0,4.88,69.23,1.5,100
361,,Ahmed Ayman Mansour,0.08,0.04,41,72.61,3.77,42.7
362,,Youssef Osama Nabih,0.05,0,11.38,76.99,3.1,50
363,,Abdelrahman Body,0,0,13.5,74.07,2.67,28.57
364,,Ahmed Abdelrasoul,0,0,27.24,56.29,2.67,32.31
365,,Karim Nedved,0.06,0,28.28,89.78,4.44,57.14
366,,Hassan Ali,0.05,0.11,18.26,76.37,3.53,48.84
367,,Mahmoud Fahmy,0,0,5.91,66.15,1.64,33.33
