Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Tarek Taha,0,0,63.64,0.2,0,0,0.8,0.6,0,0.8,0,1.6,0,0,33.6,87.5,6.6,72.73,0,0.2,0,0,0.6,0,0,0,44.44,40,0.2,0.8,5
Ziad Kamal,0,0,37.5,0.63,0,0,2.25,1.38,0,0.38,0,1.25,0,0,34.38,79.64,4.63,43.33,0,0.25,0,0,0.75,0,0.13,0,18.18,46.97,1,0.88,8
John Okoye Ebuka,0.21,0,43.24,2.86,0,0,0.21,0.07,0,0,0,0,0.07,0.07,11.5,72.67,4.14,50,0,0.07,0,0,0.93,0.14,0.07,0,30,27.35,0.29,1.21,14
Farid Shawky,0,0,42.86,0.22,0,0,1.41,1,0.04,0.81,0,0.93,0,0.04,50.59,83.16,6.33,55.24,0,0.33,0,0,0.81,0.19,0.33,0.04,42.86,47.73,0.48,0.81,27
Omar Gaber,0,0.13,36.36,0.38,0,0,1.63,0.81,0,0.75,0,0.38,0.06,0.06,25.94,83.13,6,50,0,0.06,0,0,0.88,0.06,0.06,0,54.55,55.56,0.56,0.88,16
Ahmed Yasser,0.15,0.05,32.14,1.05,0.05,0,1.8,0.9,0,0.55,0,1.1,0.15,0.1,21.3,68.08,4.3,44.44,0,0.15,0,0,0.7,0.15,0.1,0.05,47.83,42.86,0.55,1,20
Abdel Naser Mohamed Di Maria,0,0,50,0.53,0,0,0.6,0.27,0,0.33,0,0,0,0.07,8.13,72.13,3.27,41.67,0,0,0,0,0.27,0,0.07,0,45.45,51.72,0.53,0.4,15
Rafik Kabou,0.24,0.12,41.18,1.15,0,0,0.41,0.12,0,0.03,0,0.53,0.09,0.15,18.65,75.08,5.15,61.54,0,0.09,0,0,0.94,0.12,0.06,0,14.13,24.9,0.47,0.68,34
Walid Mostafa,0,0,36.36,0.75,0,0,0.81,0.44,0,0.31,0,0,0.06,0.13,12.19,70.77,2.63,40,0,0,0,0,0.44,0,0,0,27.27,48.39,0.63,0.5,16
Mohamed Ashraf,0,0,50,0.29,0,0,1.29,0.57,0.14,1,0,0.43,0,0,32.29,79.65,8,43.48,0,0.29,0,0,0.29,0,0.14,0,50,52.38,0.71,1.29,7
Islam Salah,0.05,0.05,0,0.21,0.05,0,0.68,1.32,0,2.21,0,0.16,0,0,18.05,81.63,0.47,36.36,0,0,0,0,0.84,0.05,0.26,0,55.17,55.88,0.47,0.63,19
Naser Naser,0,0,60,0.76,0,0,1.12,0.65,0,0.35,0,0.94,0,0,25.35,83.06,4.88,54.35,0,0.06,0,0,1,0.12,0.06,0,38.1,50.46,0.94,1,17
Mohamed Tarek,0,0,71.43,0.25,0,0,1.38,0.13,0,1.5,0,0.75,0,0,25.5,83.33,3.88,42.11,0,0,0,0,0.75,0.13,0.13,0,66.67,58.7,0.38,0.63,8
Abderrahim Deghmoum,0.08,0.2,51.25,1.68,0.04,0,1.44,0.28,0,0.2,0,1,0.04,0.04,28.52,78.4,7.88,58.73,0,0.04,0,0,0.76,0.08,0.2,0,58.06,45.94,1.4,1.48,25
Mostafa Abdel Rasoul,0,0,50,0.58,0,0,1.83,0.83,0,0.58,0,0.42,0,0,21.33,69.92,1.92,35.9,0,0.08,0,0,0.67,0,0.08,0,57.14,54.65,0.33,0.75,12
Emad Fathy,0,0,55.74,0.77,0,0,1.83,0.87,0,0.5,0,0.63,0.17,0.03,25.6,75.52,6.77,46.97,0,0.03,0,0,1.13,0.07,0.23,0,29.51,47.76,1.77,1.67,30
Belal El Sayed,0.05,0,53.85,1.2,0,0,1,0.55,0.05,0.3,0,0.55,0.05,0.05,27.6,78.99,6.05,46.15,0,0,0,0,0.95,0.05,0.15,0,33.33,43.36,0.8,1.2,20
Hesham Balaha,0,0,60,0.45,0,0,0.64,0.73,0,0.27,0,0.45,0,0,19.64,82.41,4.64,69.23,0,0,0,0,0,0,0.18,0,33.33,34.88,0.18,0.91,11
Malek Baayou,0.08,0,61.11,1,0,0,1.33,1.33,0,0.83,0,0.75,0,0,25,76,5.33,41.18,0,0.08,0,0,1.17,0,0,0,58.33,52.17,1.08,1.08,12
Ahmed Emad,0,0,20,0.18,0,0,1.55,1.64,0.09,2,0,1,0,0,21.36,69.79,2,37.84,0,0.45,0,0,0.73,0,0.27,0,63.89,50.62,0,1.18,11
Ahmed El-Saghiri,0.03,0,50,0.27,0,0,0.67,0.63,0,0.5,0,0.37,0.03,0,21.13,75.55,3.7,37.25,0,0.03,0,0,0.43,0.03,0.07,0,47.06,56.41,0.9,0.3,30
Khaled Stouhi,0.06,0,66.67,0.31,0,0,1.25,1.5,0,2.75,0,0.31,0,0,29.44,70.06,2.06,35.71,0,0.19,0,0,1.06,0.06,0.19,0.06,53.66,57.89,0.69,0.88,16
Khaled Kamar,0.16,0.11,100,0.79,0.05,0,0.21,0.11,0.05,0.63,0,0.26,0.11,0.11,9.89,61.17,1.47,55.56,0,0,0,0,0.95,0.05,0.16,0,22.37,29.91,0.63,0.63,19
Firas Chaouat,0.33,0.19,32,1.52,0.05,0,0.38,0.14,0,0.29,0,0.24,0.05,0.05,17,66.39,5.14,33.33,0,0.05,0,0,0.71,0.05,0.19,0,46.88,40.66,1.05,0.86,21
Ibrahim Adel,0.18,0.23,28,1.77,0,0,1.05,0.36,0,0.09,0,0.64,0.05,0,19.59,79.12,7.41,64,0,0.09,0,0,0.27,0,0.09,0,32,37.85,1,0.82,22
Ahmed Madbouli,0.03,0,41.67,1.21,0,0,1.28,0.34,0,0.1,0,0.72,0.1,0.14,24.1,71.67,7.93,39.76,0,0.03,0,0,0.72,0.1,0.14,0,10.71,41.22,1.24,0.86,29
Ahmed Mostafa,0.04,0,42.86,1.32,0,0,1,0.6,0,0.48,0,0.6,0.04,0.08,25.72,76.05,7.2,40.32,0,0.04,0,0,0.88,0,0.04,0,44.44,46.45,1.36,1.2,25
Sayed Abdallah,0.04,0,53.06,0.23,0,0,0.54,0.27,0,0.31,0,0.23,0.12,0.08,22.54,85.49,6.65,58.06,0,0,0,0,0.35,0.23,0.04,0,37.5,50,0.46,0.42,26
Karim El Tayeb,0.06,0.06,45.45,0.69,0.06,0,0.25,0,0,0.25,0,0.06,0.06,0.06,8.63,61.59,2.44,25,0,0,0,0,0.31,0,0.06,0,49.09,47.87,0.56,0.69,16
Saeed Kamal,0.5,0,50,1,0,0,1,0,0,0.5,0,0.5,0,0,40,76.25,3.5,20,0,0.5,0,0,0.5,0,0,0,30.77,34.48,1.5,2.5,2
Mohamed Abdel Aati,0.07,0,40,0.07,0,0,0.57,0.21,0,0.07,0,0.29,0,0,27.71,79.9,7,72.55,0,0,0,0,0.57,0.07,0.14,0,33.33,51.79,1.14,0.43,14
Ahmed Sayed Gharib,0,0,0,0.5,0,0,0.75,0,0,1.25,0,0.5,0.25,0.25,3,58.33,1.25,50,0,0,0,0,0.25,0,0,0,37.5,36.84,0.25,0.5,4
Amr Marey,0,0,0,0.2,0,0,0.4,0,0,0.2,0,0,0.2,0.2,9.8,79.59,4.4,0,0,0,0,0,0.8,0,0,0,54.55,57.89,0.6,0.4,5
Ahmed Yehia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,100,0,100,0,1,0,0,0,0,0,0,0,0,0,0,1
Ahmed Afifi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,62.5,1,0,0,0,0,0,0,0,0,0,100,100,0,0,1
Mohamed El Nahass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,1,100,0,0,0,0,0,0,0,0,0,66.67,2,0,1
