#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
364,,Aleksandar Ješić,0,0.08,0,0,0.88,0.2
365,,Nemanja Kojčić,0,0.2,0,0,1.4,0.2
366,,Arihiro Sentoku,0,0,0,0,0.36,0
367,,Vladimir Radivojević,0,0,0,0,0.79,0.21
368,,Dino Dolmagić,0,0.05,0,0,0.55,0.1
369,,Ibrahim Tanko,0,0.03,0,0,0.38,0.12
370,,Radivoj Bosić,0,0,0,0,0.35,0.13
371,,Haris Kadrić,0,0.07,0,0,0.54,0.11
372,,Saša Jovanović,0,0,0,0,0.67,0.08
373,,Lazar Arsić,0,0,0,0,0.81,0.05
374,,Ljubiša Pecelj,0,0.32,0,0,0.76,0.32
375,,Jovan Lukić,0,0,0,0,0.1,0
376,,Nemanja Subotić,0,0.03,0,0,0.5,0.09
377,,Miloš Brnović,0,0,0,0,0.17,0
378,,Dimitrije Petronijević,0,0.07,0,0,0.93,0.14
379,,Dražen Bagarić,0,0.06,0,0,0.5,0
380,,Vladimir Prijović,0,0.2,0,0,0.87,0.07
381,,Giorgi Papunashvili,0,0,0,0,1,0
382,,Nikola Stanković,0,0,0,0,0.88,0.38
383,,Ibrahim Mustapha,0,0,0,0,0.17,0
384,,Ognjen Milanović,0,0,0,0,1,0
385,,Luka Borovic,0,0,0,0,1,1
386,,Obren Kljajić,0,0,0,0,0,0
387,,Nikola Simić,2,0,0,0,0.67,0.33
388,,Marko Vučić,0,0,0,0,0,0
389,,Adrián Szőke,0,0,0,0,0,0
390,,Veljko Jovanović,0,0,0,0,0.75,0.25
391,,Abdul Musa Zubairu,0,0,0,0,0.56,0.11
392,,Aleksandar Vulić,3.12,0.06,0.18,0,1.71,0.29
393,,Mihajlo Nešković,0,0.1,0,0,0.8,0.03
394,,Filip Babić,0,0,0,0,1.71,0.29
395,,Vukašin Bogdanović,0,0,0,0,0.75,0.1
396,,Borko Duronjić,0,0,0,0,0.72,0.03
397,,Mihajlo Petković,0,0,0,0,0.71,0
398,,Semir Alić,0,0,0,0,0.5,0.08
399,,Stefan Dimić,0,0,0,0,1.13,0.13
400,,Ivan Vukčević,0,0,0,0,0.25,0
401,,Dušan Hodžić,0,0.13,0,0,1.4,0.2
402,,Nikola Đuričić,0,0,0,0,1.06,0.06
403,,Miloš Rošević,0,0,0,0,0.06,0.06
404,,Nikola Zečević,0,0.09,0,0,1.64,0
405,,Milan Obradović,0,0.27,0,0,1.12,0.24
406,,Romain Gall,0,0,0,0,0.57,0.14
407,,Danilo Sekulić,0,0.07,0,0,0.86,0.07
408,,Miroslav Bjeloš,0,0,0,0,0.73,0
409,,Ugochukwu Oduenyi,0,0,0,0,1.33,0
410,,Molls Donald Ntchamda,0,0,0,0,0.3,0
411,,Predrag Medić,0,0,0,0,0.78,0.06
412,,Bogdan Jočić,0,0.05,0,0,0.77,0.05
